date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,98.19,100.94,98.13,99.89,4958180
2015-02-03 00:00:00+05:30,100.0,100.58,97.85,98.01,5144310
2015-02-04 00:00:00+05:30,98.9,100.73,98.76,99.11,4886220
2015-02-05 00:00:00+05:30,99.89,100.0,97.13,97.5,5182450
2015-02-06 00:00:00+05:30,97.9,98.47,95.8,96.0,4716500
2015-02-09 00:00:00+05:30,95.4,95.4,92.21,93.6,7209730
2015-02-10 00:00:00+05:30,93.36,96.17,92.74,93.71,4324570
2015-02-11 00:00:00+05:30,93.8,98.98,93.69,98.08,4966830
2015-02-12 00:00:00+05:30,98.11,98.6,96.2,97.8,4869750
2015-02-13 00:00:00+05:30,98.05,99.94,97.2,99.94,6529710
2015-02-16 00:00:00+05:30,99.39,100.3,98.52,99.04,4543910
2015-02-18 00:00:00+05:30,99.14,100.0,97.0,97.11,4611500
2015-02-19 00:00:00+05:30,97.52,105.15,97.52,105.04,10897490
2015-02-20 00:00:00+05:30,105.3,105.7,102.04,102.4,6058050
2015-02-23 00:00:00+05:30,102.81,102.91,99.13,99.27,6024980
2015-02-24 00:00:00+05:30,99.91,103.28,98.25,102.5,5993350
2015-02-25 00:00:00+05:30,103.01,103.34,99.47,99.48,3871620
2015-02-26 00:00:00+05:30,100.52,101.45,98.5,99.6,6702620
2015-02-27 00:00:00+05:30,99.8,101.92,99.5,100.73,7942590
2015-02-28 00:00:00+05:30,101.4,105.14,97.9,100.6,9638240
2015-03-02 00:00:00+05:30,101.99,102.15,99.13,100.47,5517960
2015-03-03 00:00:00+05:30,100.76,102.3,99.48,100.2,7882970
2015-03-04 00:00:00+05:30,101.02,102.17,98.51,99.5,9120810
2015-03-05 00:00:00+05:30,101.5,101.5,98.32,98.8,6308650
2015-03-09 00:00:00+05:30,99.4,99.4,95.61,95.84,4416120
2015-03-10 00:00:00+05:30,96.29,96.75,94.0,94.6,4657370
2015-03-11 00:00:00+05:30,94.5,94.97,92.8,92.93,4484310
2015-03-12 00:00:00+05:30,93.98,96.49,93.53,95.27,4532550
2015-03-13 00:00:00+05:30,96.02,96.02,93.32,95.01,4323910
2015-03-16 00:00:00+05:30,94.44,94.7,91.5,92.41,3871980
2015-03-17 00:00:00+05:30,92.84,94.27,91.6,93.37,7767840
2015-03-18 00:00:00+05:30,94.68,94.88,93.2,94.2,5748910
2015-03-19 00:00:00+05:30,95.21,96.5,94.6,94.64,8012550
2015-03-20 00:00:00+05:30,95.14,95.14,91.61,92.0,7721380
2015-03-23 00:00:00+05:30,92.4,93.39,90.83,92.0,6477920
2015-03-24 00:00:00+05:30,92.06,92.28,89.8,90.4,6516650
2015-03-26 00:00:00+05:30,90.68,90.68,88.02,88.3,9644300
2015-03-27 00:00:00+05:30,88.8,91.9,88.76,91.5,5646940
2015-03-30 00:00:00+05:30,92.0,92.21,89.65,92.0,5252030
2015-03-31 00:00:00+05:30,92.56,92.56,90.21,90.51,6856620
2015-04-01 00:00:00+05:30,90.7,91.5,90.01,90.55,6903470
2015-04-06 00:00:00+05:30,91.2,91.2,89.25,90.01,4361290
2015-04-07 00:00:00+05:30,90.11,94.24,90.11,93.79,7747500
2015-04-08 00:00:00+05:30,94.4,94.59,91.55,92.99,5387070
2015-04-09 00:00:00+05:30,93.5,96.0,92.0,95.88,12573910
2015-04-10 00:00:00+05:30,95.4,96.66,93.8,94.85,7928720
