date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,139.0,140.9,138.8,140.3,842080
2015-02-03 00:00:00+05:30,140.15,140.8,137.3,139.1,1282140
2015-02-04 00:00:00+05:30,138.85,139.15,133.25,134.5,6573710
2015-02-05 00:00:00+05:30,134.7,144.8,133.8,144.0,21588570
2015-02-06 00:00:00+05:30,143.4,150.95,141.35,147.0,19991800
2015-02-09 00:00:00+05:30,146.5,149.0,144.6,145.3,2676290
2015-02-11 00:00:00+05:30,153.9,156.8,152.95,154.3,3363220
2015-02-12 00:00:00+05:30,154.1,164.05,153.8,161.8,8044690
2015-02-13 00:00:00+05:30,162.5,163.2,159.35,162.6,2807760
2015-02-16 00:00:00+05:30,161.95,165.8,161.95,163.85,1721220
2015-02-18 00:00:00+05:30,163.1,169.45,162.7,169.2,3040590
2015-02-19 00:00:00+05:30,168.0,168.4,161.6,162.6,5635410
2015-02-20 00:00:00+05:30,163.5,164.55,160.1,161.5,1863170
2015-02-23 00:00:00+05:30,159.5,163.9,157.1,159.0,1641220
2015-02-24 00:00:00+05:30,160.25,167.3,159.55,166.85,3428420
2015-02-25 00:00:00+05:30,167.7,171.9,167.05,167.15,5413420
2015-02-26 00:00:00+05:30,168.1,171.1,162.55,168.0,3630080
2015-02-27 00:00:00+05:30,168.8,171.3,164.25,165.65,2837990
2015-02-28 00:00:00+05:30,166.5,167.3,161.85,164.2,1153700
2015-03-02 00:00:00+05:30,165.25,167.25,162.15,166.45,1626400
2015-03-03 00:00:00+05:30,166.4,169.8,166.2,167.15,1694580
2015-03-04 00:00:00+05:30,168.5,169.2,163.4,165.0,1683570
2015-03-05 00:00:00+05:30,165.4,166.0,162.85,163.8,747070
2015-03-09 00:00:00+05:30,163.1,163.5,159.15,159.55,1492520
2015-03-10 00:00:00+05:30,160.3,160.3,155.75,157.85,1668170
2015-03-11 00:00:00+05:30,157.5,157.5,154.05,156.0,2212450
2015-03-12 00:00:00+05:30,157.25,162.4,157.2,162.0,3164440
2015-03-16 00:00:00+05:30,156.55,157.1,155.2,156.6,848530
2015-03-17 00:00:00+05:30,158.55,158.55,155.2,155.85,1743350
2015-03-18 00:00:00+05:30,154.8,156.7,154.0,155.0,1831740
2015-03-19 00:00:00+05:30,157.8,157.8,151.2,152.25,1636710
2015-03-20 00:00:00+05:30,152.0,160.6,147.95,158.8,4835970
2015-03-23 00:00:00+05:30,159.3,159.5,155.7,157.3,1191730
2015-03-24 00:00:00+05:30,157.4,157.75,150.85,151.9,2875560
2015-03-25 00:00:00+05:30,152.45,154.9,151.0,152.8,2857730
2015-03-26 00:00:00+05:30,152.5,153.1,146.7,150.1,5125740
2015-03-27 00:00:00+05:30,150.5,152.1,145.25,150.3,1818390
2015-03-30 00:00:00+05:30,151.2,154.75,148.5,149.75,2058080
2015-03-31 00:00:00+05:30,151.0,151.45,147.1,148.2,1999390
2015-04-01 00:00:00+05:30,148.25,150.8,146.25,147.85,2904400
