date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,57.45,61.2,57.45,60.3,655764
2015-02-03 00:00:00+05:30,60.3,61.7,59.0,59.0,327753
2015-02-04 00:00:00+05:30,59.75,61.35,59.55,59.75,267287
2015-02-05 00:00:00+05:30,57.4,60.0,57.4,59.05,192135
2015-02-06 00:00:00+05:30,59.05,59.7,56.5,57.5,170797
2015-02-09 00:00:00+05:30,57.95,58.8,56.1,58.8,155904
2015-02-10 00:00:00+05:30,57.95,59.85,55.5,58.2,315160
2015-02-11 00:00:00+05:30,60.2,60.75,54.5,58.0,946056
2015-02-12 00:00:00+05:30,58.5,59.5,56.2,56.75,301349
2015-02-13 00:00:00+05:30,56.75,58.2,56.0,56.65,171507
2015-02-16 00:00:00+05:30,56.9,57.55,55.55,56.9,136974
2015-02-19 00:00:00+05:30,57.15,57.25,55.5,55.65,95982
2015-02-20 00:00:00+05:30,55.65,58.8,55.65,57.2,344019
2015-02-23 00:00:00+05:30,58.3,58.5,56.0,56.45,136428
2015-02-24 00:00:00+05:30,56.45,57.2,55.4,56.25,126057
2015-02-25 00:00:00+05:30,56.15,57.0,56.0,56.05,92919
2015-02-26 00:00:00+05:30,55.5,56.95,55.5,56.4,89561
2015-02-27 00:00:00+05:30,56.4,57.0,56.0,56.35,76165
2015-02-28 00:00:00+05:30,57.45,57.45,55.75,55.8,124405
2015-03-02 00:00:00+05:30,56.7,61.25,56.1,60.5,599653
2015-03-03 00:00:00+05:30,60.9,69.8,60.8,67.55,1940754
2015-03-04 00:00:00+05:30,68.45,72.0,65.35,65.8,1244235
2015-03-05 00:00:00+05:30,65.8,67.6,65.1,66.3,418156
2015-03-09 00:00:00+05:30,65.95,65.95,62.5,63.55,450995
2015-03-10 00:00:00+05:30,64.0,66.75,63.1,65.25,282450
2015-03-11 00:00:00+05:30,65.3,66.05,63.8,65.3,155508
2015-03-12 00:00:00+05:30,65.3,67.7,65.0,67.2,466751
2015-03-13 00:00:00+05:30,67.75,68.75,64.5,65.9,338508
2015-03-16 00:00:00+05:30,66.35,67.0,63.2,63.6,192241
2015-03-17 00:00:00+05:30,64.35,65.0,63.0,63.5,176820
2015-03-18 00:00:00+05:30,63.5,63.8,62.25,62.75,149527
2015-03-19 00:00:00+05:30,63.7,64.85,61.55,62.0,122219
2015-03-20 00:00:00+05:30,62.4,62.7,60.65,60.65,112242
2015-03-23 00:00:00+05:30,61.15,62.0,58.0,58.7,184762
2015-03-24 00:00:00+05:30,59.7,59.7,57.65,58.85,108993
2015-03-25 00:00:00+05:30,58.85,59.2,57.15,57.3,185616
2015-03-26 00:00:00+05:30,57.05,57.8,56.1,56.9,95705
2015-03-27 00:00:00+05:30,63.0,63.0,55.65,56.5,517942
2015-03-30 00:00:00+05:30,58.8,61.4,58.05,60.3,203231
2015-03-31 00:00:00+05:30,62.0,63.9,60.5,62.2,261830
2015-04-01 00:00:00+05:30,62.2,65.35,61.6,64.65,333213
2015-04-06 00:00:00+05:30,64.5,65.3,64.15,64.9,166960
2015-04-07 00:00:00+05:30,65.1,77.9,63.7,77.6,6061634
2015-04-08 00:00:00+05:30,77.0,84.1,76.5,80.0,3278996
2015-04-09 00:00:00+05:30,80.95,83.65,78.45,78.5,1218792
2015-04-10 00:00:00+05:30,79.0,81.3,78.0,78.1,691641
2015-04-13 00:00:00+05:30,78.2,84.7,77.25,82.8,1427182
2015-04-15 00:00:00+05:30,82.0,89.0,81.0,84.0,1880098
2015-04-16 00:00:00+05:30,84.35,84.9,80.9,82.65,565691
2015-04-17 00:00:00+05:30,82.25,84.8,80.35,81.5,686502
2015-04-20 00:00:00+05:30,82.8,82.8,75.0,75.85,677139
2015-04-22 00:00:00+05:30,77.4,78.65,73.1,76.4,435640
2015-04-23 00:00:00+05:30,77.15,78.0,75.65,76.25,343243
2015-04-24 00:00:00+05:30,76.85,76.85,72.2,73.15,438530
2015-04-27 00:00:00+05:30,74.8,74.8,66.25,67.5,385547
2015-04-28 00:00:00+05:30,68.8,70.9,64.4,69.6,299668
2015-04-29 00:00:00+05:30,68.5,71.9,68.4,70.35,424582
2015-04-30 00:00:00+05:30,70.1,74.7,68.2,71.5,499112
2015-05-04 00:00:00+05:30,71.0,73.6,69.9,71.85,314945
2015-05-05 00:00:00+05:30,72.8,72.9,70.65,71.8,238221
2015-05-06 00:00:00+05:30,71.1,71.1,65.1,66.0,402931
2015-05-07 00:00:00+05:30,66.2,66.4,58.25,60.4,879437
2015-05-08 00:00:00+05:30,61.9,64.4,61.85,63.5,244329
2015-05-11 00:00:00+05:30,64.2,67.5,63.6,65.55,293714
2015-05-12 00:00:00+05:30,65.55,65.55,62.25,62.7,192301
2015-05-13 00:00:00+05:30,62.75,64.35,61.1,63.5,191407
2015-05-14 00:00:00+05:30,63.2,67.25,62.6,65.75,303873
2015-05-15 00:00:00+05:30,67.0,68.5,65.8,67.35,193583
2015-05-18 00:00:00+05:30,67.2,71.0,67.2,69.15,293397
2015-05-19 00:00:00+05:30,69.45,73.8,68.9,72.0,457791
2015-05-20 00:00:00+05:30,72.4,74.6,72.25,72.65,227839
2015-05-21 00:00:00+05:30,73.1,73.1,71.15,71.65,79798
