date,open,high,low,close,volume
2021-04-19 00:00:00+05:30,225.0,239.0,212.05,228.95,20440020
2021-04-20 00:00:00+05:30,234.0,256.9,228.65,250.5,11696054
2021-04-22 00:00:00+05:30,249.0,271.25,245.8,259.55,4717646
2021-04-23 00:00:00+05:30,261.4,268.25,258.85,266.25,2290900
2021-04-26 00:00:00+05:30,266.0,292.9,266.0,288.4,4134722
2021-04-27 00:00:00+05:30,288.0,306.35,285.5,299.95,4370234
2021-04-28 00:00:00+05:30,302.4,310.0,298.1,306.0,1965360
2021-04-29 00:00:00+05:30,309.35,309.5,291.0,302.5,3745404
2021-04-30 00:00:00+05:30,296.0,310.9,294.05,295.0,685902
2021-05-03 00:00:00+05:30,295.0,302.5,285.95,302.5,843872
2021-05-04 00:00:00+05:30,300.6,304.0,291.35,295.0,587536
2021-05-05 00:00:00+05:30,295.5,305.9,293.75,302.5,581394
2021-05-06 00:00:00+05:30,303.0,306.1,297.75,298.55,280942
2021-05-07 00:00:00+05:30,301.95,319.0,301.5,314.9,2697318
2021-05-10 00:00:00+05:30,315.0,360.5,315.0,344.4,3199820
2021-05-11 00:00:00+05:30,342.0,351.35,338.05,345.7,936054
2021-05-12 00:00:00+05:30,350.0,355.1,317.45,326.95,1401130
2021-05-14 00:00:00+05:30,331.0,335.7,307.45,323.85,1285630
2021-05-17 00:00:00+05:30,324.95,328.5,313.8,317.6,2171004
2021-05-18 00:00:00+05:30,323.9,323.9,307.25,317.5,1329368
2021-05-20 00:00:00+05:30,317.15,322.5,308.0,313.95,415446
2021-05-21 00:00:00+05:30,318.45,328.0,314.25,322.5,1312952
2021-05-24 00:00:00+05:30,324.45,326.0,319.1,323.5,600694
2021-05-25 00:00:00+05:30,321.5,322.85,314.0,314.35,869846
2021-05-26 00:00:00+05:30,310.0,314.5,309.0,314.0,477480
2021-05-27 00:00:00+05:30,310.05,312.5,305.0,306.0,206788
2021-05-28 00:00:00+05:30,308.0,321.5,307.5,315.0,831432
2021-05-31 00:00:00+05:30,317.4,320.5,310.95,316.0,470464
2021-06-01 00:00:00+05:30,318.0,318.4,309.0,309.2,326966
2021-06-02 00:00:00+05:30,315.0,318.2,308.55,309.0,276882
2021-06-03 00:00:00+05:30,310.25,317.8,309.65,310.35,579756
2021-06-04 00:00:00+05:30,314.0,317.0,310.5,315.0,379024
2021-06-07 00:00:00+05:30,316.85,344.5,315.8,333.5,2294398
2021-06-08 00:00:00+05:30,331.5,355.0,331.5,343.0,2449058
2021-06-09 00:00:00+05:30,348.0,351.3,325.75,331.25,1641506
2021-06-10 00:00:00+05:30,334.85,350.0,333.75,344.5,1124304
2021-06-11 00:00:00+05:30,347.0,349.55,330.7,336.0,995650
2021-06-14 00:00:00+05:30,335.1,352.5,325.9,342.9,1198116
2021-06-15 00:00:00+05:30,345.85,357.5,345.0,352.75,1736126
2021-06-16 00:00:00+05:30,355.0,359.0,337.0,339.5,973280
2021-06-17 00:00:00+05:30,339.45,346.5,331.0,335.0,530462
2021-06-18 00:00:00+05:30,337.9,342.95,316.05,342.0,1097994
2021-06-21 00:00:00+05:30,337.5,354.0,333.4,350.0,654224
2021-06-22 00:00:00+05:30,354.0,356.55,348.0,350.1,688240
2021-06-23 00:00:00+05:30,351.35,352.25,340.0,341.25,399570
2021-06-24 00:00:00+05:30,340.5,348.5,338.05,340.0,314612
2021-06-25 00:00:00+05:30,343.5,343.85,336.5,337.0,225598
2021-06-28 00:00:00+05:30,337.0,346.5,336.0,341.75,754738
2021-06-29 00:00:00+05:30,344.0,344.5,336.5,337.5,288198
2021-06-30 00:00:00+05:30,346.3,352.2,340.0,341.25,1174270
2021-07-01 00:00:00+05:30,344.85,347.4,339.0,340.9,276078
2021-07-02 00:00:00+05:30,343.85,343.85,334.25,337.5,261834
2021-07-05 00:00:00+05:30,342.45,344.0,332.65,335.5,698690
2021-07-06 00:00:00+05:30,336.5,338.35,322.5,326.45,982024
2021-07-07 00:00:00+05:30,327.5,336.2,327.5,331.5,811694
2021-07-08 00:00:00+05:30,335.95,351.0,334.0,345.15,951394
2021-07-09 00:00:00+05:30,342.1,394.5,338.5,391.5,4418276
2021-07-12 00:00:00+05:30,395.0,407.0,387.8,396.25,1599572
2021-07-13 00:00:00+05:30,399.0,399.0,384.8,386.0,643596
2021-07-14 00:00:00+05:30,387.5,413.45,387.5,395.05,1569090
2021-07-15 00:00:00+05:30,395.05,419.5,386.0,416.5,2020176
2021-07-16 00:00:00+05:30,418.55,436.2,412.6,425.0,1753020
2021-07-19 00:00:00+05:30,412.0,423.7,410.5,413.65,1108510
2021-07-22 00:00:00+05:30,402.95,433.5,400.95,425.0,1392008
2021-07-23 00:00:00+05:30,424.5,426.85,415.55,419.5,714302
2021-07-26 00:00:00+05:30,420.95,427.4,416.1,419.0,579460
2021-07-27 00:00:00+05:30,423.85,442.5,417.95,435.75,1261028
2021-07-28 00:00:00+05:30,439.5,439.5,408.0,430.0,817570
2021-07-29 00:00:00+05:30,430.0,442.1,425.5,426.45,448182
2021-07-30 00:00:00+05:30,428.0,432.5,420.7,427.5,349820
2021-08-02 00:00:00+05:30,430.0,464.05,426.4,462.5,3400048
2021-08-03 00:00:00+05:30,462.5,472.45,456.8,459.25,826418
2021-08-04 00:00:00+05:30,460.45,463.45,438.0,440.7,401940
2021-08-05 00:00:00+05:30,442.35,443.25,417.6,434.6,462970
2021-08-06 00:00:00+05:30,437.0,442.45,431.0,436.3,513874
2021-08-09 00:00:00+05:30,439.55,442.35,425.15,427.5,525806
2021-08-10 00:00:00+05:30,427.7,433.25,393.5,405.15,659550
2021-08-11 00:00:00+05:30,405.15,422.95,380.65,420.0,1116006
2021-08-12 00:00:00+05:30,420.0,434.95,412.7,423.0,789112
2021-08-13 00:00:00+05:30,428.75,438.7,419.75,435.0,518962
2021-08-16 00:00:00+05:30,435.0,441.5,427.5,432.5,241972
2021-08-17 00:00:00+05:30,435.0,435.0,421.15,421.95,139126
2021-08-18 00:00:00+05:30,424.9,438.5,418.85,428.25,480172
2021-08-23 00:00:00+05:30,426.5,434.85,400.5,402.0,302966
2021-08-24 00:00:00+05:30,403.95,423.05,403.0,419.5,225198
2021-08-25 00:00:00+05:30,424.45,429.5,422.05,425.6,421834
2021-08-26 00:00:00+05:30,426.9,440.0,423.9,433.65,368274
2021-08-27 00:00:00+05:30,435.95,453.45,435.95,447.5,619600
2021-08-30 00:00:00+05:30,445.0,473.65,445.0,468.95,699678
2021-08-31 00:00:00+05:30,469.4,486.25,461.1,483.0,797508
2021-09-01 00:00:00+05:30,484.45,512.5,482.5,497.0,2093092
2021-09-02 00:00:00+05:30,494.9,525.0,493.15,523.5,1463324
2021-09-03 00:00:00+05:30,524.5,550.0,521.0,539.95,2528974
2021-09-06 00:00:00+05:30,544.75,551.0,523.2,544.95,1287318
2021-09-07 00:00:00+05:30,542.0,542.45,508.0,520.0,701860
2021-09-08 00:00:00+05:30,520.0,528.0,512.75,526.0,605106
2021-09-09 00:00:00+05:30,522.5,527.5,513.05,515.5,687420
2021-09-13 00:00:00+05:30,521.95,536.7,520.2,529.85,342072
2021-09-14 00:00:00+05:30,534.95,534.95,522.5,523.0,262270
2021-09-15 00:00:00+05:30,525.0,529.0,504.4,507.6,288398
2021-09-16 00:00:00+05:30,515.95,519.95,499.5,507.45,413802
2021-09-17 00:00:00+05:30,502.5,521.35,495.0,505.5,936136
2021-09-21 00:00:00+05:30,486.55,512.5,468.05,509.0,676146
2021-09-22 00:00:00+05:30,514.35,537.25,508.2,525.0,1048302
2021-09-23 00:00:00+05:30,537.0,576.0,528.25,552.5,3458108
2021-09-24 00:00:00+05:30,557.85,560.9,517.0,532.0,1242986
2021-09-27 00:00:00+05:30,535.5,553.5,529.25,547.5,749732
2021-09-28 00:00:00+05:30,551.95,551.95,521.5,525.9,426062
2021-09-29 00:00:00+05:30,524.0,542.0,520.4,532.05,454276
2021-09-30 00:00:00+05:30,537.45,539.5,526.25,527.5,280648
2021-10-01 00:00:00+05:30,530.5,537.0,525.25,525.6,302160
2021-10-04 00:00:00+05:30,543.9,549.9,525.25,526.5,702754
2021-10-05 00:00:00+05:30,530.0,549.8,519.0,539.5,2285052
2021-10-06 00:00:00+05:30,547.55,549.95,525.0,526.0,643510
2021-10-07 00:00:00+05:30,547.5,572.5,536.4,565.0,2905532
2021-10-08 00:00:00+05:30,572.0,590.95,558.15,580.05,1865262
2021-10-11 00:00:00+05:30,590.0,605.0,585.0,593.5,804242
2021-10-12 00:00:00+05:30,597.1,601.0,581.5,594.95,1091310
2021-10-13 00:00:00+05:30,593.5,597.5,583.8,589.5,464038
2021-10-14 00:00:00+05:30,594.9,612.5,589.95,597.4,601264
2021-10-18 00:00:00+05:30,602.4,608.65,590.0,590.25,291182
2021-10-19 00:00:00+05:30,597.5,597.5,545.6,560.0,618276
2021-10-20 00:00:00+05:30,556.55,566.5,519.35,528.5,684626
2021-10-22 00:00:00+05:30,529.5,541.5,515.55,522.55,1169570
2021-10-25 00:00:00+05:30,528.45,529.5,475.2,486.0,927934
2021-10-26 00:00:00+05:30,480.0,535.0,479.95,527.5,1205606
2021-10-27 00:00:00+05:30,531.5,553.75,524.4,535.0,736142
2021-10-28 00:00:00+05:30,538.75,540.6,517.65,521.85,280778
2021-10-29 00:00:00+05:30,522.5,548.75,505.1,525.0,840262
2021-11-01 00:00:00+05:30,524.9,579.45,523.25,574.0,1195666
2021-11-02 00:00:00+05:30,574.0,595.0,561.8,586.0,646304
2021-11-03 00:00:00+05:30,590.85,599.0,554.2,587.5,544388
2021-11-04 00:00:00+05:30,596.5,596.5,580.05,584.25,136922
2021-11-08 00:00:00+05:30,585.0,588.45,571.5,575.0,212826
2021-11-09 00:00:00+05:30,582.9,610.0,580.3,589.0,918532
2021-11-10 00:00:00+05:30,589.0,620.0,583.0,618.5,843948
2021-11-11 00:00:00+05:30,626.5,633.0,608.25,615.5,1280880
2021-11-12 00:00:00+05:30,617.5,637.5,609.5,630.5,825524
2021-11-15 00:00:00+05:30,637.0,653.35,629.1,642.5,968900
2021-11-16 00:00:00+05:30,645.0,729.3,642.5,703.5,4830012
2021-11-17 00:00:00+05:30,704.95,731.0,696.4,710.0,1154064
2021-11-18 00:00:00+05:30,699.0,699.0,674.55,693.35,1145138
2021-11-22 00:00:00+05:30,696.95,730.85,680.0,685.0,1061980
2021-11-23 00:00:00+05:30,688.45,690.3,666.05,682.0,545956
2021-11-24 00:00:00+05:30,682.2,698.5,675.0,696.9,1668810
2021-11-25 00:00:00+05:30,702.9,720.45,695.55,709.55,486690
2021-11-26 00:00:00+05:30,704.0,704.0,665.5,669.0,486130
2021-11-29 00:00:00+05:30,656.55,729.7,616.1,713.0,529864
2021-11-30 00:00:00+05:30,720.0,759.0,677.5,690.5,1577382
2021-12-01 00:00:00+05:30,707.15,769.5,702.4,752.0,1656724
2021-12-02 00:00:00+05:30,753.7,753.7,712.5,717.5,730440
2021-12-03 00:00:00+05:30,724.3,732.0,708.05,715.0,356976
2021-12-06 00:00:00+05:30,718.85,727.45,706.95,717.5,427416
2021-12-07 00:00:00+05:30,725.0,730.7,713.0,715.0,358012
2021-12-08 00:00:00+05:30,720.0,734.5,714.1,720.75,497296
2021-12-09 00:00:00+05:30,727.85,730.0,714.15,716.0,365100
2021-12-10 00:00:00+05:30,724.5,725.0,700.0,702.0,415750
2021-12-13 00:00:00+05:30,711.85,713.8,681.15,685.0,413982
2021-12-14 00:00:00+05:30,689.5,689.5,630.7,651.0,1235164
2021-12-15 00:00:00+05:30,653.95,654.0,631.2,638.5,1065552
2021-12-16 00:00:00+05:30,632.65,670.15,626.2,631.45,1237902
2021-12-17 00:00:00+05:30,637.45,641.25,584.75,592.5,5155610
2021-12-20 00:00:00+05:30,565.0,572.9,531.1,533.55,2021194
2021-12-21 00:00:00+05:30,549.75,575.8,548.25,572.5,2228348
2021-12-23 00:00:00+05:30,608.35,640.95,608.35,640.95,1194000
2021-12-24 00:00:00+05:30,643.4,648.65,619.05,622.25,559390
2021-12-27 00:00:00+05:30,629.9,636.5,594.1,614.25,654044
2021-12-28 00:00:00+05:30,616.0,627.45,601.95,603.2,417344
2021-12-29 00:00:00+05:30,610.5,634.85,610.5,619.0,1023326
2021-12-30 00:00:00+05:30,624.95,626.8,613.1,625.0,267134
2021-12-31 00:00:00+05:30,623.5,630.8,611.7,619.0,172456
2022-01-03 00:00:00+05:30,616.6,668.15,615.25,622.0,685054
2022-01-04 00:00:00+05:30,628.85,629.75,611.5,613.0,504496
2022-01-05 00:00:00+05:30,627.5,635.9,616.5,620.0,408854
2022-01-06 00:00:00+05:30,617.5,623.05,595.65,599.95,416828
2022-01-07 00:00:00+05:30,619.15,619.15,591.85,605.45,759294
2022-01-10 00:00:00+05:30,611.0,617.05,605.55,614.1,278146
2022-01-11 00:00:00+05:30,614.55,628.5,614.0,625.75,469434
2022-01-12 00:00:00+05:30,628.5,641.5,616.0,619.0,651376
2022-01-13 00:00:00+05:30,622.55,623.95,606.0,610.55,218942
2022-01-14 00:00:00+05:30,609.5,610.05,596.4,602.0,442996
2022-01-17 00:00:00+05:30,608.8,626.0,596.5,621.0,570544
2022-01-18 00:00:00+05:30,629.35,638.4,615.25,620.0,631082
2022-01-19 00:00:00+05:30,618.85,625.5,605.85,620.2,559758
2022-01-20 00:00:00+05:30,622.35,642.5,618.75,635.65,437028
2022-01-21 00:00:00+05:30,630.0,649.6,623.0,641.0,472636
2022-01-24 00:00:00+05:30,640.0,660.2,583.0,594.95,652192
2022-01-25 00:00:00+05:30,589.95,649.5,578.05,640.0,436698
2022-01-27 00:00:00+05:30,639.5,657.0,613.5,631.0,665344
2022-01-28 00:00:00+05:30,649.95,663.55,631.0,639.35,564806
2022-01-31 00:00:00+05:30,654.3,665.0,640.25,648.5,286486
2022-02-01 00:00:00+05:30,654.95,665.0,642.0,647.5,241616
2022-02-02 00:00:00+05:30,650.0,696.0,650.0,681.85,493316
2022-02-03 00:00:00+05:30,682.35,686.0,657.5,666.85,235998
2022-02-04 00:00:00+05:30,667.5,669.95,650.0,657.0,186452
2022-02-07 00:00:00+05:30,641.55,668.95,641.55,660.0,325830
2022-02-08 00:00:00+05:30,669.85,669.85,635.0,647.45,309884
