date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,1585.0,1605.95,1545.15,1547.0,539882
2015-02-03 00:00:00+05:30,1560.25,1576.8,1524.7,1545.0,805464
2015-02-04 00:00:00+05:30,1557.65,1599.8,1550.05,1578.7,449578
2015-02-05 00:00:00+05:30,1583.3,1610.0,1559.9,1573.9,496980
2015-02-09 00:00:00+05:30,1565.0,1572.25,1540.25,1549.95,282751
2015-02-10 00:00:00+05:30,1546.95,1570.7,1542.05,1564.05,317358
2015-02-11 00:00:00+05:30,1568.0,1599.95,1557.0,1589.15,386830
2015-02-12 00:00:00+05:30,1600.0,1632.95,1586.2,1630.8,347460
2015-02-13 00:00:00+05:30,1688.35,1691.55,1644.4,1677.0,1755915
2015-02-16 00:00:00+05:30,1688.0,1688.0,1657.8,1664.0,829315
2015-02-18 00:00:00+05:30,1681.0,1687.2,1664.0,1681.1,661872
2015-02-19 00:00:00+05:30,1688.4,1705.5,1674.4,1681.55,901463
2015-02-20 00:00:00+05:30,1686.5,1697.9,1676.05,1689.0,610958
2015-02-23 00:00:00+05:30,1695.0,1703.0,1602.5,1653.8,2660294
2015-02-24 00:00:00+05:30,1650.0,1667.9,1624.05,1656.0,712684
2015-02-25 00:00:00+05:30,1667.0,1669.0,1649.85,1669.0,1029877
2015-02-26 00:00:00+05:30,1666.4,1715.0,1648.1,1715.0,4294852
2015-02-27 00:00:00+05:30,1702.55,1745.0,1702.0,1735.0,1318176
2015-02-28 00:00:00+05:30,1745.0,1750.0,1718.1,1749.0,342220
2015-03-02 00:00:00+05:30,1751.0,1808.8,1743.0,1795.0,699697
2015-03-03 00:00:00+05:30,1790.75,1826.0,1785.0,1803.0,764185
2015-03-04 00:00:00+05:30,1814.65,1833.9,1769.85,1780.0,812314
2015-03-05 00:00:00+05:30,1781.95,1843.0,1776.35,1835.0,989673
2015-03-10 00:00:00+05:30,1877.5,1916.2,1872.6,1899.8,1441260
2015-03-11 00:00:00+05:30,1905.0,1905.0,1860.0,1867.0,932381
2015-03-12 00:00:00+05:30,1875.0,1889.85,1860.0,1875.25,978932
2015-03-13 00:00:00+05:30,1890.2,1905.95,1866.3,1879.0,905221
2015-03-16 00:00:00+05:30,1888.5,1888.5,1861.1,1863.9,740295
2015-03-17 00:00:00+05:30,1876.0,1894.0,1865.5,1875.0,630741
2015-03-18 00:00:00+05:30,1885.0,1895.0,1867.1,1875.0,692895
2015-03-19 00:00:00+05:30,1896.95,1959.2,1883.6,1926.75,1672178
2015-03-20 00:00:00+05:30,1938.0,1955.85,1884.9,1912.0,2979066
2015-03-23 00:00:00+05:30,1912.0,1936.9,1896.0,1926.3,790173
2015-03-24 00:00:00+05:30,1931.0,2024.9,1923.35,2024.0,1530864
2015-03-25 00:00:00+05:30,2026.5,2036.9,1987.0,2003.0,1893185
2015-03-26 00:00:00+05:30,1989.0,2013.5,1953.35,1976.1,1833579
2015-03-27 00:00:00+05:30,1975.35,1988.5,1948.0,1957.0,1490668
2015-03-30 00:00:00+05:30,1965.1,2011.9,1960.0,2000.0,1044043
2015-03-31 00:00:00+05:30,2010.8,2028.0,1995.0,2000.05,871620
2015-04-01 00:00:00+05:30,2008.0,2044.9,2004.45,2033.05,765520
2015-04-06 00:00:00+05:30,2040.0,2095.0,2040.0,2090.2,873378
2015-04-07 00:00:00+05:30,2098.55,2109.45,2060.0,2097.0,905730
2015-04-08 00:00:00+05:30,2113.95,2113.95,2067.0,2080.8,996840
2015-04-10 00:00:00+05:30,2025.8,2025.8,1958.35,1974.0,2426561
2015-04-13 00:00:00+05:30,1974.0,1992.8,1965.0,1983.8,1080824
2015-04-15 00:00:00+05:30,1994.0,1998.0,1929.0,1937.55,1844762
2015-04-16 00:00:00+05:30,1942.0,1942.0,1863.4,1903.45,1898539
2015-04-17 00:00:00+05:30,1895.0,1895.0,1740.25,1776.0,4492370
2015-04-20 00:00:00+05:30,1777.05,1819.5,1750.1,1790.0,2338449
2015-04-21 00:00:00+05:30,1762.0,1801.95,1721.05,1762.0,1525095
2015-04-22 00:00:00+05:30,1765.5,1777.0,1734.0,1745.25,1853258
2015-04-23 00:00:00+05:30,1756.8,1779.95,1721.6,1725.0,1466247
2015-04-24 00:00:00+05:30,1735.0,1776.85,1713.05,1762.05,1335176
2015-04-27 00:00:00+05:30,1768.0,1768.0,1683.05,1716.0,1129807
2015-04-28 00:00:00+05:30,1715.0,1740.0,1687.65,1723.0,1109975
2015-04-29 00:00:00+05:30,1717.0,1768.0,1710.35,1745.2,975436
2015-04-30 00:00:00+05:30,1749.8,1784.5,1734.1,1776.0,1877012
2015-05-04 00:00:00+05:30,1781.4,1823.8,1778.85,1818.0,1013449
2015-05-05 00:00:00+05:30,1811.4,1829.7,1796.05,1810.85,742048
2015-05-06 00:00:00+05:30,1805.0,1817.35,1740.0,1752.4,1454313
2015-05-07 00:00:00+05:30,1750.0,1756.45,1691.1,1730.0,1337567
2015-05-08 00:00:00+05:30,1747.0,1786.8,1741.1,1757.45,879139
2015-05-11 00:00:00+05:30,1761.05,1788.9,1730.0,1775.0,1357164
2015-05-12 00:00:00+05:30,1769.9,1771.8,1736.05,1740.3,985025
2015-05-13 00:00:00+05:30,1769.9,1804.4,1678.5,1685.5,5135877
2015-05-14 00:00:00+05:30,1652.0,1652.0,1588.55,1636.0,4562796
2015-05-15 00:00:00+05:30,1640.0,1695.2,1636.35,1694.5,2642187
2015-05-18 00:00:00+05:30,1700.1,1746.0,1696.55,1739.0,1972125
2015-05-19 00:00:00+05:30,1738.45,1740.0,1697.0,1725.0,1740033
2015-05-20 00:00:00+05:30,1737.55,1745.2,1706.25,1721.0,1698761
2015-05-21 00:00:00+05:30,1727.4,1731.0,1699.0,1710.3,1313240
2015-05-22 00:00:00+05:30,1718.0,1743.95,1701.45,1732.85,1282444
2015-05-25 00:00:00+05:30,1747.8,1779.5,1738.05,1755.2,2191338
2015-05-26 00:00:00+05:30,1769.95,1797.8,1742.1,1760.0,3309025
2015-05-27 00:00:00+05:30,1749.5,1773.0,1730.15,1743.0,1978928
2015-05-28 00:00:00+05:30,1754.3,1766.3,1712.0,1744.0,2679633
2015-05-29 00:00:00+05:30,1749.9,1854.9,1728.5,1770.0,24028297
2015-06-01 00:00:00+05:30,1774.9,1815.6,1774.9,1787.0,1566987
2015-06-02 00:00:00+05:30,1799.0,1826.4,1794.0,1804.5,1710555
2015-06-03 00:00:00+05:30,1800.0,1819.4,1771.0,1796.0,904617
2015-06-04 00:00:00+05:30,1801.6,1813.75,1728.4,1748.0,1237047
2015-06-05 00:00:00+05:30,1759.0,1784.4,1750.2,1783.0,877497
2015-06-08 00:00:00+05:30,1787.75,1793.0,1764.2,1775.35,601962
2015-06-09 00:00:00+05:30,1770.0,1781.65,1741.0,1767.0,1242523
2015-06-11 00:00:00+05:30,1765.0,1771.0,1698.45,1712.5,1076662
2015-06-12 00:00:00+05:30,1713.75,1728.5,1692.5,1720.2,675471
2015-06-15 00:00:00+05:30,1734.4,1734.4,1701.0,1715.0,581826
2015-06-16 00:00:00+05:30,1717.95,1727.9,1675.0,1692.0,871712
2015-06-17 00:00:00+05:30,1702.0,1744.0,1695.5,1734.0,1107633
2015-06-18 00:00:00+05:30,1728.5,1811.0,1727.15,1810.0,1015783
2015-06-19 00:00:00+05:30,1806.1,1822.5,1777.1,1813.0,897830
2015-06-22 00:00:00+05:30,1830.9,1850.75,1801.6,1804.0,902220
