date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,141.55,142.05,137.15,137.4,5082509
2015-02-03 00:00:00+05:30,137.95,144.3,137.9,143.4,5805526
2015-02-04 00:00:00+05:30,143.8,146.85,139.9,145.15,4940046
2015-02-05 00:00:00+05:30,145.55,147.0,141.2,141.8,2838093
2015-02-06 00:00:00+05:30,142.0,143.0,138.1,140.65,1933802
2015-02-09 00:00:00+05:30,138.4,140.25,137.85,138.7,1977465
2015-02-10 00:00:00+05:30,137.85,143.05,136.3,139.9,2311696
2015-02-11 00:00:00+05:30,140.75,141.5,138.95,140.4,937788
2015-02-13 00:00:00+05:30,143.25,146.7,142.25,146.45,2041600
2015-02-16 00:00:00+05:30,146.55,147.4,144.65,146.15,2399756
2015-02-18 00:00:00+05:30,145.85,146.75,142.2,145.0,1993417
2015-02-19 00:00:00+05:30,145.1,145.5,140.3,141.95,1242640
2015-02-20 00:00:00+05:30,143.05,143.8,141.3,141.4,884942
2015-02-23 00:00:00+05:30,142.05,143.7,141.45,142.2,1756605
2015-02-24 00:00:00+05:30,142.8,142.8,138.1,139.35,1653646
2015-02-25 00:00:00+05:30,139.6,140.8,135.4,136.15,2637440
2015-02-26 00:00:00+05:30,136.4,137.4,133.25,135.1,6283348
2015-02-27 00:00:00+05:30,135.5,137.85,134.45,137.3,4633583
2015-02-28 00:00:00+05:30,138.85,138.95,134.65,138.65,3132102
2015-03-02 00:00:00+05:30,139.75,146.55,139.6,146.05,9223843
2015-03-03 00:00:00+05:30,146.25,148.3,143.7,145.9,7439342
2015-03-04 00:00:00+05:30,148.25,148.3,141.05,142.3,2745591
2015-03-05 00:00:00+05:30,143.35,143.8,139.2,142.0,1247150
2015-03-09 00:00:00+05:30,141.5,147.7,139.75,146.2,4743326
2015-03-10 00:00:00+05:30,147.1,148.45,141.5,143.2,3567914
2015-03-11 00:00:00+05:30,143.9,143.9,138.2,139.9,1933814
2015-03-12 00:00:00+05:30,140.85,142.1,140.1,141.15,3821949
2015-03-13 00:00:00+05:30,142.2,145.0,140.75,142.5,6175061
2015-03-16 00:00:00+05:30,142.2,146.45,141.6,144.5,3272354
2015-03-17 00:00:00+05:30,145.9,146.35,144.15,145.85,4603299
2015-03-18 00:00:00+05:30,146.5,147.3,144.9,145.65,1952134
2015-03-19 00:00:00+05:30,146.8,150.25,145.65,147.4,5357209
2015-03-20 00:00:00+05:30,147.45,149.75,146.05,147.2,7702339
2015-03-23 00:00:00+05:30,147.65,149.15,145.6,146.95,2453094
2015-03-24 00:00:00+05:30,147.35,148.45,145.0,145.7,1215962
2015-03-25 00:00:00+05:30,146.2,147.15,142.05,145.7,3670279
2015-03-26 00:00:00+05:30,144.45,148.0,144.2,146.4,4202068
2015-03-27 00:00:00+05:30,145.1,146.05,139.9,142.15,4797753
2015-03-30 00:00:00+05:30,141.7,142.2,139.65,140.15,2872995
2015-03-31 00:00:00+05:30,140.5,142.2,138.7,140.15,6199917
2015-04-01 00:00:00+05:30,141.55,146.7,140.65,145.9,4676217
2015-04-06 00:00:00+05:30,145.5,150.25,145.1,149.1,1928822
2015-04-07 00:00:00+05:30,150.8,150.8,145.25,147.1,2495107
2015-04-08 00:00:00+05:30,149.05,149.15,145.7,148.25,1644459
2015-04-09 00:00:00+05:30,149.4,150.25,146.1,149.1,1723073
2015-04-10 00:00:00+05:30,150.25,152.0,148.55,148.6,2740765
