date,open,high,low,close,volume
2020-10-12 00:00:00+05:30,72.5,108.2,72.5,86.0,72834830
2020-10-13 00:00:00+05:30,86.0,92.35,82.0,90.5,37555600
2020-10-14 00:00:00+05:30,90.2,93.7,89.05,90.75,12302810
2020-10-15 00:00:00+05:30,91.0,91.35,85.5,86.2,6365670
2020-10-16 00:00:00+05:30,86.9,87.7,82.5,84.15,6121284
2020-10-19 00:00:00+05:30,85.4,86.4,83.75,84.1,3817044
2020-10-20 00:00:00+05:30,83.85,84.9,82.7,82.8,2503350
2020-10-21 00:00:00+05:30,83.45,88.7,83.2,86.1,8935356
2020-10-22 00:00:00+05:30,86.15,87.45,84.5,85.2,3964946
2020-10-23 00:00:00+05:30,87.1,89.5,86.3,87.35,7061782
2020-10-26 00:00:00+05:30,88.0,88.0,85.0,85.4,1842308
2020-10-27 00:00:00+05:30,85.45,85.8,83.7,84.35,1541216
2020-10-28 00:00:00+05:30,85.0,85.6,83.5,83.6,1854128
2020-10-29 00:00:00+05:30,83.6,84.5,83.1,83.6,1785764
2020-10-30 00:00:00+05:30,83.75,84.85,82.5,83.15,1895028
2020-11-02 00:00:00+05:30,83.4,86.25,82.65,84.3,2404698
2020-11-03 00:00:00+05:30,84.6,84.9,83.0,83.1,1216816
2020-11-04 00:00:00+05:30,83.25,83.95,82.55,83.0,1431068
2020-11-05 00:00:00+05:30,83.4,86.1,83.2,84.7,2986688
2020-11-06 00:00:00+05:30,84.8,87.0,84.5,84.8,3984240
2020-11-09 00:00:00+05:30,86.0,90.95,85.7,89.1,12952750
2020-11-10 00:00:00+05:30,89.6,89.6,85.4,86.2,4712484
2020-11-12 00:00:00+05:30,87.3,88.75,86.3,88.5,2843484
2020-11-13 00:00:00+05:30,89.7,92.25,89.05,91.55,12895606
2020-11-14 00:00:00+05:30,92.35,95.4,92.0,94.85,5850388
2020-11-17 00:00:00+05:30,95.7,96.4,90.6,92.0,7508764
2020-11-18 00:00:00+05:30,92.0,93.25,91.5,91.6,3351728
2020-11-19 00:00:00+05:30,91.6,93.5,90.8,92.0,4299966
2020-11-20 00:00:00+05:30,92.9,94.4,91.9,92.2,5338508
2020-11-23 00:00:00+05:30,92.5,93.0,90.5,90.95,2962856
2020-11-24 00:00:00+05:30,91.4,92.7,90.5,90.7,2929908
2020-11-25 00:00:00+05:30,91.4,91.7,89.6,90.2,2933560
2020-11-26 00:00:00+05:30,90.2,90.7,89.2,89.75,2202950
2020-11-27 00:00:00+05:30,89.9,91.3,89.05,89.35,3771360
2020-12-01 00:00:00+05:30,90.2,91.7,90.2,91.1,2587372
2020-12-02 00:00:00+05:30,91.4,91.5,90.0,90.5,1574932
2020-12-03 00:00:00+05:30,90.9,93.85,90.85,92.45,5039888
2020-12-04 00:00:00+05:30,92.5,92.9,90.95,91.2,2018816
2020-12-07 00:00:00+05:30,91.4,97.1,91.4,95.95,8598684
2020-12-08 00:00:00+05:30,96.25,97.65,93.55,94.25,4729412
2020-12-09 00:00:00+05:30,95.8,99.4,94.9,98.0,10603806
2020-12-10 00:00:00+05:30,97.7,98.4,95.0,96.1,2833888
2020-12-11 00:00:00+05:30,96.25,97.3,94.0,94.2,3194876
2020-12-14 00:00:00+05:30,94.7,97.6,94.5,97.3,3263506
2020-12-15 00:00:00+05:30,97.0,97.0,95.0,95.3,2038102
2020-12-16 00:00:00+05:30,95.9,113.95,95.75,109.5,40818124
2020-12-17 00:00:00+05:30,109.0,111.9,102.5,103.9,18187100
2020-12-18 00:00:00+05:30,104.4,112.85,101.25,110.85,30207978
2020-12-21 00:00:00+05:30,110.5,112.35,98.0,101.5,8596354
2020-12-22 00:00:00+05:30,102.5,105.85,98.05,104.45,5949058
2020-12-23 00:00:00+05:30,104.9,109.0,104.5,106.9,3317406
2020-12-24 00:00:00+05:30,107.9,109.1,105.1,106.4,2090234
2020-12-28 00:00:00+05:30,107.2,108.95,106.5,108.0,2803798
2020-12-29 00:00:00+05:30,108.9,108.9,105.6,106.25,1979266
2020-12-30 00:00:00+05:30,107.0,112.8,105.4,110.7,9109800
2020-12-31 00:00:00+05:30,110.45,111.7,108.7,109.05,3336812
2021-01-01 00:00:00+05:30,109.5,117.4,109.1,113.4,16386622
2021-01-04 00:00:00+05:30,114.5,115.8,112.0,113.5,4275666
2021-01-05 00:00:00+05:30,113.5,115.45,111.8,112.6,2969824
2021-01-06 00:00:00+05:30,113.25,113.5,108.0,109.55,3425604
2021-01-07 00:00:00+05:30,110.6,112.25,109.3,110.0,3022054
2021-01-08 00:00:00+05:30,111.3,113.35,110.2,110.7,2374824
2021-01-11 00:00:00+05:30,111.5,111.85,108.8,109.3,1469780
2021-01-13 00:00:00+05:30,109.85,111.15,107.5,108.5,1907482
2021-01-14 00:00:00+05:30,109.2,112.4,107.6,110.25,3555698
2021-01-15 00:00:00+05:30,110.0,110.9,108.0,108.5,1340962
2021-01-18 00:00:00+05:30,108.5,108.65,105.5,105.85,1328212
2021-01-19 00:00:00+05:30,106.75,108.45,106.5,107.3,964322
2021-01-20 00:00:00+05:30,107.3,109.7,106.5,108.7,1639520
2021-01-21 00:00:00+05:30,108.9,109.4,103.6,106.0,1438762
2021-01-22 00:00:00+05:30,105.9,107.2,104.25,104.7,1092910
2021-01-25 00:00:00+05:30,105.8,106.35,102.5,105.4,1055844
2021-01-27 00:00:00+05:30,104.9,106.0,100.45,100.9,1231138
2021-01-28 00:00:00+05:30,100.5,104.4,100.5,103.8,1689780
2021-01-29 00:00:00+05:30,104.75,108.4,104.3,106.4,2620512
