date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,80.85,86.0,76.55,82.7,373948
2015-02-03 00:00:00+05:30,82.5,82.5,76.25,76.25,155380
2015-02-04 00:00:00+05:30,76.25,79.4,74.3,77.85,289516
2015-02-05 00:00:00+05:30,77.85,78.45,73.1,74.5,69420
2015-02-06 00:00:00+05:30,73.3,78.2,73.3,75.0,277756
2015-02-09 00:00:00+05:30,75.0,76.0,73.15,74.75,61532
2015-02-10 00:00:00+05:30,75.0,76.5,74.0,75.25,43536
2015-02-11 00:00:00+05:30,75.25,77.0,74.4,76.0,28296
2015-02-12 00:00:00+05:30,76.0,77.1,75.05,75.9,33300
2015-02-13 00:00:00+05:30,76.0,78.7,74.55,76.5,1010900
2015-02-16 00:00:00+05:30,76.5,78.0,76.5,77.5,180108
2015-02-18 00:00:00+05:30,77.5,78.75,76.4,76.9,38672
2015-02-19 00:00:00+05:30,75.5,77.2,74.5,75.05,58736
2015-02-20 00:00:00+05:30,75.0,78.75,74.1,76.1,1680944
2015-02-23 00:00:00+05:30,77.4,78.75,75.65,75.8,386268
2015-02-24 00:00:00+05:30,75.8,77.2,73.8,73.8,69312
2015-02-25 00:00:00+05:30,75.0,75.5,72.0,74.1,91368
2015-02-26 00:00:00+05:30,74.0,74.45,72.15,73.5,110868
2015-02-27 00:00:00+05:30,73.2,74.4,70.8,73.05,105324
2015-03-02 00:00:00+05:30,74.25,75.15,70.35,72.75,127096
2015-03-03 00:00:00+05:30,72.75,74.9,72.0,74.25,182724
2015-03-04 00:00:00+05:30,75.0,76.0,73.85,75.0,386204
2015-03-05 00:00:00+05:30,75.0,75.5,73.05,74.1,31132
2015-03-09 00:00:00+05:30,74.5,75.0,73.0,73.65,44208
2015-03-10 00:00:00+05:30,74.5,77.25,73.25,73.75,152076
2015-03-11 00:00:00+05:30,75.5,75.5,71.5,71.8,96516
2015-03-12 00:00:00+05:30,72.5,73.25,71.25,71.45,82284
2015-03-13 00:00:00+05:30,71.45,72.25,70.5,71.25,71180
2015-03-16 00:00:00+05:30,71.25,71.4,69.25,69.75,172576
2015-03-17 00:00:00+05:30,71.0,71.25,68.5,71.0,167236
2015-03-18 00:00:00+05:30,71.0,71.0,68.9,70.5,20868
2015-03-19 00:00:00+05:30,71.45,72.4,70.0,71.5,167000
2015-03-20 00:00:00+05:30,73.75,73.75,71.3,72.5,181308
2015-03-23 00:00:00+05:30,71.25,72.5,71.25,72.1,52868
2015-03-24 00:00:00+05:30,71.25,80.75,71.25,76.5,8480336
2015-03-25 00:00:00+05:30,77.25,77.5,71.75,73.4,303128
2015-03-26 00:00:00+05:30,73.25,73.7,69.5,71.2,238052
2015-03-27 00:00:00+05:30,70.25,71.9,67.1,68.7,105932
2015-03-30 00:00:00+05:30,68.75,71.7,67.9,70.25,103732
2015-04-01 00:00:00+05:30,71.25,76.1,70.75,75.0,125228
2015-04-06 00:00:00+05:30,75.0,78.65,75.0,77.75,296860
2015-04-07 00:00:00+05:30,78.0,80.0,77.25,78.2,748272
2015-04-08 00:00:00+05:30,78.4,79.25,77.5,78.6,98992
2015-04-09 00:00:00+05:30,79.6,80.0,77.0,77.5,249276
2015-04-10 00:00:00+05:30,77.8,79.5,76.55,79.4,140200
2015-04-13 00:00:00+05:30,80.0,80.0,77.5,77.9,53372
2015-04-15 00:00:00+05:30,78.1,79.0,75.85,76.7,43060
2015-04-16 00:00:00+05:30,76.7,78.25,76.7,77.6,32548
2015-04-17 00:00:00+05:30,77.6,77.6,75.8,76.25,19304
2015-04-20 00:00:00+05:30,74.05,76.25,73.1,75.25,61316
2015-04-21 00:00:00+05:30,75.25,76.25,73.3,73.5,31860
2015-04-22 00:00:00+05:30,79.2,79.2,72.85,72.85,21068
2015-04-23 00:00:00+05:30,74.0,75.5,71.75,73.5,36976
2015-04-24 00:00:00+05:30,73.5,74.45,59.4,67.85,744152
2015-04-27 00:00:00+05:30,67.5,71.0,67.0,69.5,397972
2015-04-28 00:00:00+05:30,67.75,72.5,67.75,70.5,144116
2015-04-29 00:00:00+05:30,71.3,72.9,69.5,72.5,110840
2015-04-30 00:00:00+05:30,73.25,79.4,72.5,74.55,1546072
2015-05-04 00:00:00+05:30,75.45,77.0,72.75,74.5,323244
2015-05-05 00:00:00+05:30,74.5,74.75,72.0,73.25,261376
2015-05-06 00:00:00+05:30,73.25,73.5,68.05,71.75,335652
2015-05-07 00:00:00+05:30,71.25,73.2,70.0,72.0,132320
2015-05-08 00:00:00+05:30,71.65,74.5,71.5,72.65,50820
2015-05-11 00:00:00+05:30,72.5,74.5,71.4,73.6,44512
2015-05-12 00:00:00+05:30,73.6,75.0,72.4,73.9,346612
2015-05-13 00:00:00+05:30,73.0,76.3,72.5,73.6,118928
2015-05-14 00:00:00+05:30,73.6,75.5,72.25,75.0,516984
2015-05-15 00:00:00+05:30,75.5,78.5,73.75,76.75,269332
2015-05-18 00:00:00+05:30,78.65,78.75,77.0,78.0,46644
2015-05-19 00:00:00+05:30,78.75,78.75,75.2,77.25,46028
2015-05-20 00:00:00+05:30,77.0,78.0,76.7,77.9,73900
2015-05-21 00:00:00+05:30,77.9,79.0,77.6,77.9,40588
2015-05-22 00:00:00+05:30,75.8,79.6,75.8,76.6,50020
2015-05-25 00:00:00+05:30,0.0,77.45,0.0,74.75,144308
2015-05-26 00:00:00+05:30,76.0,76.0,71.45,72.5,57088
2015-05-27 00:00:00+05:30,71.3,76.75,71.3,72.75,77308
2015-05-28 00:00:00+05:30,73.75,73.75,72.15,73.25,20712
2015-05-29 00:00:00+05:30,0.0,82.3,0.0,81.0,830576
2015-06-02 00:00:00+05:30,75.5,78.1,74.0,74.9,27140
2015-06-03 00:00:00+05:30,0.0,76.2,0.0,73.0,66476
2015-06-04 00:00:00+05:30,74.25,74.75,72.7,73.75,27972
2015-06-05 00:00:00+05:30,0.0,74.25,0.0,73.25,17448
2015-06-08 00:00:00+05:30,73.25,73.75,72.35,73.5,57820
2015-06-09 00:00:00+05:30,0.0,73.4,0.0,72.0,21676
2015-06-10 00:00:00+05:30,0.0,73.65,0.0,72.6,49848
2015-06-11 00:00:00+05:30,0.0,74.1,0.0,72.25,11280
2015-06-12 00:00:00+05:30,0.0,73.5,0.0,72.0,140048
2015-06-15 00:00:00+05:30,73.4,73.5,70.6,72.95,18524
2015-06-16 00:00:00+05:30,0.0,73.65,0.0,72.35,43116
2015-06-17 00:00:00+05:30,0.0,74.25,0.0,72.75,33804
2015-06-18 00:00:00+05:30,0.0,73.75,0.0,73.5,11252
2015-06-19 00:00:00+05:30,0.0,74.75,0.0,73.5,17552
2015-06-22 00:00:00+05:30,74.5,76.25,73.1,73.9,20232
2015-06-23 00:00:00+05:30,0.0,75.75,0.0,74.5,31600
2015-06-24 00:00:00+05:30,0.0,75.75,0.0,74.8,268528
2015-06-25 00:00:00+05:30,75.5,77.4,74.25,77.0,355064
2015-06-26 00:00:00+05:30,77.5,78.7,76.25,77.1,50712
2015-06-29 00:00:00+05:30,73.75,75.75,73.0,73.8,41580
2015-06-30 00:00:00+05:30,74.9,76.2,73.05,74.75,62260
2015-07-01 00:00:00+05:30,75.0,77.5,75.0,77.1,44232
2015-07-03 00:00:00+05:30,78.9,80.45,78.55,79.4,157984
2015-07-06 00:00:00+05:30,79.0,81.25,77.8,80.25,57488
2015-07-07 00:00:00+05:30,0.0,80.9,0.0,79.95,22828
2015-07-08 00:00:00+05:30,0.0,80.25,0.0,77.95,64512
2015-07-09 00:00:00+05:30,77.5,78.75,77.4,78.35,21644
2015-07-10 00:00:00+05:30,0.0,79.9,0.0,79.5,37408
2015-07-13 00:00:00+05:30,0.0,80.25,0.0,80.25,69144
2015-07-14 00:00:00+05:30,81.5,84.1,81.25,83.1,150280
2015-07-15 00:00:00+05:30,0.0,83.5,0.0,82.25,99192
2015-07-16 00:00:00+05:30,83.0,83.1,80.4,82.25,26824
2015-07-17 00:00:00+05:30,83.4,84.6,82.5,84.6,63968
2015-07-20 00:00:00+05:30,86.75,87.25,85.25,85.9,104876
2015-07-21 00:00:00+05:30,85.75,86.8,82.5,84.25,51000
2015-07-22 00:00:00+05:30,82.5,86.0,80.9,85.0,52768
2015-07-23 00:00:00+05:30,0.0,87.45,0.0,86.25,57540
2015-07-24 00:00:00+05:30,86.25,87.25,85.1,85.2,35184
2015-07-27 00:00:00+05:30,85.75,85.9,83.3,84.95,56888
2015-07-28 00:00:00+05:30,86.0,86.15,83.65,84.1,26692
2015-07-29 00:00:00+05:30,84.05,87.25,83.5,87.1,23912
2015-07-30 00:00:00+05:30,89.95,89.95,85.1,85.5,110580
2015-07-31 00:00:00+05:30,86.25,90.35,86.25,89.0,366296
2015-08-03 00:00:00+05:30,89.4,91.05,88.25,90.0,55072
2015-08-04 00:00:00+05:30,88.05,89.95,88.05,88.75,46904
2015-08-05 00:00:00+05:30,89.25,89.5,87.05,88.0,62096
2015-08-06 00:00:00+05:30,87.0,89.5,86.35,86.75,151196
2015-08-07 00:00:00+05:30,87.5,87.9,86.75,87.25,83452
2015-08-10 00:00:00+05:30,87.6,88.8,82.9,85.5,170720
2015-08-11 00:00:00+05:30,81.75,85.0,80.3,83.25,86044
2015-08-12 00:00:00+05:30,83.25,83.25,79.25,81.45,225044
2015-08-13 00:00:00+05:30,82.25,82.45,80.1,81.25,16540
2015-08-14 00:00:00+05:30,80.5,83.4,80.25,82.0,96072
2015-08-17 00:00:00+05:30,83.0,83.0,80.3,81.0,53560
2015-08-18 00:00:00+05:30,81.5,82.25,80.3,81.9,14932
2015-08-19 00:00:00+05:30,81.25,83.5,80.5,81.2,29832
2015-08-20 00:00:00+05:30,82.0,82.1,76.5,80.0,38380
2015-08-21 00:00:00+05:30,79.5,80.2,76.5,78.75,55848
2015-08-24 00:00:00+05:30,78.5,78.5,72.55,74.0,126748
2015-08-25 00:00:00+05:30,72.5,75.5,72.05,74.5,85956
2015-08-26 00:00:00+05:30,76.25,77.25,73.15,74.25,48348
2015-08-27 00:00:00+05:30,75.0,77.5,74.25,76.25,62380
2015-08-28 00:00:00+05:30,78.05,80.25,77.6,78.75,123344
2015-08-31 00:00:00+05:30,78.35,85.4,76.25,80.0,296080
2015-09-01 00:00:00+05:30,79.5,80.25,73.0,75.5,131860
2015-09-03 00:00:00+05:30,76.25,77.25,74.9,75.6,24356
2015-09-04 00:00:00+05:30,73.9,76.0,73.9,75.0,44148
2015-09-07 00:00:00+05:30,74.9,75.6,70.5,70.75,40428
2015-09-08 00:00:00+05:30,71.0,73.0,68.9,72.1,81720
2015-09-09 00:00:00+05:30,72.8,74.75,70.25,71.5,94868
2015-09-10 00:00:00+05:30,70.95,73.2,69.25,73.2,45288
2015-09-11 00:00:00+05:30,74.5,75.5,72.0,75.25,779104
2015-09-14 00:00:00+05:30,75.25,77.8,73.0,73.9,24460
2015-09-15 00:00:00+05:30,73.5,74.85,73.25,73.45,21800
2015-09-16 00:00:00+05:30,73.75,76.25,73.6,75.75,27760
2015-09-18 00:00:00+05:30,76.7,76.7,75.0,76.5,8296
