date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,120.04,120.08,117.96,118.5,8614721
2015-02-03 00:00:00+05:30,118.71,120.67,118.46,119.67,6481953
2015-02-04 00:00:00+05:30,119.33,120.0,118.38,118.88,3359995
2015-02-05 00:00:00+05:30,119.13,119.25,115.88,116.08,5118491
2015-02-06 00:00:00+05:30,116.79,117.29,115.25,116.42,4975246
2015-02-09 00:00:00+05:30,116.71,116.71,115.08,115.21,2590067
2015-02-10 00:00:00+05:30,115.08,116.92,113.96,114.5,3750561
2015-02-12 00:00:00+05:30,117.13,118.88,116.75,118.5,4299347
2015-02-13 00:00:00+05:30,118.42,119.75,118.0,118.96,3009723
2015-02-16 00:00:00+05:30,119.17,120.54,118.71,120.21,1616662
2015-02-18 00:00:00+05:30,120.08,123.17,119.67,121.33,4141236
2015-02-19 00:00:00+05:30,122.08,122.67,118.33,122.46,3087619
2015-02-20 00:00:00+05:30,121.96,122.79,120.21,121.25,2643286
2015-02-23 00:00:00+05:30,121.38,122.33,120.25,121.71,5019822
2015-02-24 00:00:00+05:30,121.92,124.29,121.67,121.96,4899631
2015-02-25 00:00:00+05:30,122.29,123.83,121.33,121.67,6280349
2015-02-26 00:00:00+05:30,122.63,128.83,121.63,126.75,21216843
2015-02-27 00:00:00+05:30,126.67,132.92,126.67,132.17,10042701
2015-02-28 00:00:00+05:30,133.29,134.17,126.42,129.5,6447932
2015-03-02 00:00:00+05:30,130.17,133.33,130.04,133.17,6538798
2015-03-03 00:00:00+05:30,133.25,133.33,131.67,132.08,4822000
2015-03-04 00:00:00+05:30,132.79,133.17,129.92,131.08,3813384
2015-03-05 00:00:00+05:30,131.04,132.17,129.33,131.75,3584023
2015-03-09 00:00:00+05:30,131.13,131.71,126.21,126.42,2539748
2015-03-10 00:00:00+05:30,127.71,127.71,124.17,125.42,3205539
2015-03-11 00:00:00+05:30,124.88,128.83,124.17,128.83,3965240
2015-03-12 00:00:00+05:30,129.5,137.17,127.75,132.5,19773270
2015-03-13 00:00:00+05:30,133.79,134.33,132.25,133.17,13550135
2015-03-16 00:00:00+05:30,130.83,131.04,128.92,129.88,9226976
2015-03-17 00:00:00+05:30,130.38,132.08,129.71,131.67,5333829
2015-03-18 00:00:00+05:30,131.67,132.79,126.0,126.92,16134583
2015-03-19 00:00:00+05:30,128.04,129.75,125.13,129.0,20755488
2015-03-20 00:00:00+05:30,119.5,123.42,119.0,121.25,17137492
2015-03-23 00:00:00+05:30,121.67,125.42,121.54,125.0,7417720
2015-03-24 00:00:00+05:30,124.96,127.83,124.71,127.04,6414799
