date,open,high,low,close,volume
2020-01-27 00:00:00+05:30,5.4,5.7,5.4,5.7,19665
2020-01-28 00:00:00+05:30,6.0,6.0,6.0,6.0,5259
2020-01-29 00:00:00+05:30,6.2,6.2,6.2,6.2,7047
2020-01-30 00:00:00+05:30,6.5,6.5,6.5,6.5,7056
2020-01-31 00:00:00+05:30,6.8,6.8,6.8,6.8,1575
2020-02-01 00:00:00+05:30,7.2,7.2,7.2,7.2,2337
2020-02-03 00:00:00+05:30,7.5,7.5,7.5,7.5,1485
2020-02-04 00:00:00+05:30,7.9,7.9,7.9,7.9,2079
2020-02-05 00:00:00+05:30,8.3,8.3,8.3,8.3,768
2020-02-06 00:00:00+05:30,8.7,8.7,8.7,8.7,1485
2020-02-07 00:00:00+05:30,9.6,9.6,9.6,9.6,1710
2020-02-10 00:00:00+05:30,10.5,10.5,10.5,10.5,1830
2020-02-11 00:00:00+05:30,11.6,11.6,11.6,11.6,3951
2020-02-12 00:00:00+05:30,12.1,12.1,12.1,12.1,1086
2020-02-13 00:00:00+05:30,12.7,12.7,12.7,12.7,2373
2020-02-14 00:00:00+05:30,13.4,13.4,13.4,13.4,4224
2020-02-17 00:00:00+05:30,14.0,14.0,14.0,14.0,615
2020-02-18 00:00:00+05:30,14.7,14.7,14.7,14.7,2538
2020-02-19 00:00:00+05:30,15.4,15.4,15.4,15.4,1176
2020-02-20 00:00:00+05:30,16.2,16.2,16.2,16.2,4644
2020-02-25 00:00:00+05:30,17.9,17.9,17.9,17.9,732
2020-02-26 00:00:00+05:30,18.8,18.8,18.8,18.8,1155
2020-02-27 00:00:00+05:30,19.7,19.7,19.7,19.7,702
2020-02-28 00:00:00+05:30,20.7,20.7,20.7,20.7,2130
2020-03-02 00:00:00+05:30,21.7,21.7,21.7,21.7,3573
2020-03-03 00:00:00+05:30,22.8,22.8,22.8,22.8,1254
2020-03-04 00:00:00+05:30,23.9,23.9,23.9,23.9,2079
2020-03-05 00:00:00+05:30,25.1,25.1,25.1,25.1,4029
2020-03-06 00:00:00+05:30,26.4,26.4,26.4,26.4,2079
2020-03-09 00:00:00+05:30,27.7,27.7,27.7,27.7,2733
2020-03-11 00:00:00+05:30,29.0,29.0,29.0,29.0,1617
2020-03-12 00:00:00+05:30,30.5,30.5,30.5,30.5,18822
2020-03-13 00:00:00+05:30,32.0,32.0,32.0,32.0,5646
2020-03-16 00:00:00+05:30,33.6,33.6,33.6,33.6,2748
2020-03-17 00:00:00+05:30,35.3,35.3,35.3,35.3,1611
2020-03-18 00:00:00+05:30,37.0,37.0,37.0,37.0,5916
2020-03-19 00:00:00+05:30,38.9,38.9,38.9,38.9,4035
2020-03-20 00:00:00+05:30,40.8,40.8,40.8,40.8,18534
2020-03-23 00:00:00+05:30,42.8,42.8,42.8,42.8,24948
2020-03-24 00:00:00+05:30,45.0,45.0,45.0,45.0,7194
2020-03-25 00:00:00+05:30,47.2,47.2,47.2,47.2,2931
2020-03-27 00:00:00+05:30,52.0,52.0,52.0,52.0,2028
2020-03-30 00:00:00+05:30,54.6,54.6,54.6,54.6,933
2020-03-31 00:00:00+05:30,57.4,57.4,57.4,57.4,1344
2020-04-01 00:00:00+05:30,60.2,60.2,60.2,60.2,993
2020-04-03 00:00:00+05:30,63.2,63.2,63.2,63.2,2637
2020-04-07 00:00:00+05:30,66.4,66.4,66.4,66.4,441
2020-04-08 00:00:00+05:30,69.7,69.7,69.7,69.7,1533
2020-04-09 00:00:00+05:30,73.2,73.2,73.2,73.2,975
2020-04-13 00:00:00+05:30,76.8,76.8,76.8,76.8,471
2020-04-15 00:00:00+05:30,80.6,80.6,80.6,80.6,1068
2020-04-16 00:00:00+05:30,84.7,84.7,84.7,84.7,2565
2020-04-17 00:00:00+05:30,88.9,88.9,88.9,88.9,1845
2020-04-20 00:00:00+05:30,93.3,93.3,93.3,93.3,1029
2020-04-21 00:00:00+05:30,98.0,98.0,98.0,98.0,2109
2020-04-22 00:00:00+05:30,102.9,102.9,102.9,102.9,2592
2020-04-23 00:00:00+05:30,108.0,108.0,108.0,108.0,2211
2020-04-24 00:00:00+05:30,113.4,113.4,113.4,113.4,3669
2020-04-27 00:00:00+05:30,119.1,119.1,119.1,119.1,5991
2020-04-28 00:00:00+05:30,125.0,125.0,125.0,125.0,10767
2020-04-29 00:00:00+05:30,131.3,131.3,131.3,131.3,8628
2020-04-30 00:00:00+05:30,137.8,137.8,137.8,137.8,18234
2020-05-04 00:00:00+05:30,144.7,144.7,144.7,144.7,9156
