date,open,high,low,close,volume
2019-04-16 00:00:00+05:30,600.0,667.8,600.0,653.2,22274360
2019-04-18 00:00:00+05:30,656.9,664.9,614.0,645.95,5395345
2019-04-22 00:00:00+05:30,643.0,645.35,625.5,625.6,1050972
2019-04-23 00:00:00+05:30,628.0,648.0,628.0,633.95,1204468
2019-04-24 00:00:00+05:30,636.5,640.0,628.3,639.0,1013187
2019-04-25 00:00:00+05:30,639.2,652.0,633.0,640.0,1260147
2019-04-26 00:00:00+05:30,642.0,647.4,640.0,645.3,592442
2019-04-30 00:00:00+05:30,646.95,646.95,631.0,638.0,518879
2019-05-02 00:00:00+05:30,638.9,651.0,631.0,642.0,512787
2019-05-03 00:00:00+05:30,642.7,646.0,637.65,639.0,269526
2019-05-06 00:00:00+05:30,638.0,649.9,633.0,643.5,422921
2019-05-07 00:00:00+05:30,644.95,653.4,643.0,648.65,579871
2019-05-08 00:00:00+05:30,646.0,648.0,640.15,647.0,262945
2019-05-09 00:00:00+05:30,646.25,647.35,639.35,644.05,300925
2019-05-10 00:00:00+05:30,646.05,677.35,645.3,654.4,767525
2019-05-13 00:00:00+05:30,660.6,662.0,651.05,655.05,300209
2019-05-14 00:00:00+05:30,656.0,659.75,626.45,627.7,1068767
2019-05-15 00:00:00+05:30,620.0,625.2,603.0,618.0,1438297
2019-05-17 00:00:00+05:30,596.15,601.0,587.0,596.0,327392
2019-05-20 00:00:00+05:30,610.0,611.05,595.0,604.0,727295
2019-05-21 00:00:00+05:30,605.0,609.0,599.0,607.0,252603
2019-05-22 00:00:00+05:30,605.05,623.3,601.1,609.15,281785
2019-05-23 00:00:00+05:30,614.5,619.65,600.0,600.05,199759
2019-05-24 00:00:00+05:30,605.0,609.3,602.35,605.1,149749
2019-05-27 00:00:00+05:30,608.75,632.0,606.25,621.0,262126
2019-05-28 00:00:00+05:30,625.1,630.0,621.4,626.0,112327
2019-05-29 00:00:00+05:30,622.1,629.65,618.0,618.05,69134
2019-05-30 00:00:00+05:30,616.15,623.7,612.65,621.9,81208
2019-05-31 00:00:00+05:30,620.15,622.75,608.3,609.9,174541
2019-06-03 00:00:00+05:30,614.0,614.8,602.45,608.0,150003
2019-06-04 00:00:00+05:30,609.9,620.0,606.1,610.0,67240
2019-06-06 00:00:00+05:30,610.8,613.95,602.5,605.1,46762
2019-06-07 00:00:00+05:30,609.05,609.1,601.05,602.4,30023
2019-06-10 00:00:00+05:30,605.0,609.0,597.6,601.0,46906
2019-06-11 00:00:00+05:30,602.0,606.9,600.0,601.05,46996
2019-06-12 00:00:00+05:30,600.05,602.8,595.15,596.25,46617
2019-06-13 00:00:00+05:30,600.05,604.4,590.0,593.25,73548
2019-06-14 00:00:00+05:30,592.1,599.9,590.1,593.5,44627
2019-06-17 00:00:00+05:30,596.0,596.0,587.0,588.6,40623
2019-06-18 00:00:00+05:30,588.6,593.5,586.25,589.25,43360
2019-06-19 00:00:00+05:30,590.15,591.45,578.0,585.0,103428
2019-06-20 00:00:00+05:30,591.0,594.0,582.0,590.2,35754
2019-06-21 00:00:00+05:30,590.0,594.75,588.0,592.5,28404
2019-06-24 00:00:00+05:30,590.25,599.0,590.0,597.0,40721
2019-06-25 00:00:00+05:30,595.0,604.5,593.05,602.0,49802
2019-06-26 00:00:00+05:30,600.05,614.75,600.0,612.05,103306
2019-06-27 00:00:00+05:30,611.85,614.4,606.0,613.0,31291
2019-06-28 00:00:00+05:30,613.0,624.9,613.0,624.0,64547
2019-07-01 00:00:00+05:30,626.4,646.0,626.4,639.0,346861
2019-07-02 00:00:00+05:30,640.0,640.0,628.5,636.0,46273
2019-07-03 00:00:00+05:30,632.2,652.0,631.6,652.0,89593
2019-07-04 00:00:00+05:30,648.1,652.0,642.55,646.0,94862
2019-07-05 00:00:00+05:30,650.0,650.0,615.75,615.8,651678
2019-07-08 00:00:00+05:30,619.9,619.9,598.25,601.6,160649
2019-07-09 00:00:00+05:30,604.0,612.0,602.0,611.55,35834
2019-07-10 00:00:00+05:30,610.0,619.3,610.0,614.0,25195
2019-07-11 00:00:00+05:30,614.1,625.0,613.95,618.8,24905
2019-07-12 00:00:00+05:30,618.0,623.0,616.0,618.0,22090
2019-07-15 00:00:00+05:30,615.5,620.75,612.2,614.0,25967
2019-07-16 00:00:00+05:30,615.1,624.8,614.0,621.0,42915
2019-07-18 00:00:00+05:30,626.0,628.75,623.65,625.5,52448
2019-07-19 00:00:00+05:30,623.95,626.95,605.0,615.0,91039
2019-07-22 00:00:00+05:30,614.25,614.3,596.75,598.45,49164
2019-07-23 00:00:00+05:30,602.85,608.6,598.0,601.15,49779
2019-07-24 00:00:00+05:30,603.9,607.7,586.1,586.2,32644
2019-07-25 00:00:00+05:30,587.9,592.75,580.1,590.0,45359
2019-07-26 00:00:00+05:30,589.9,592.5,583.15,586.0,24440
2019-07-29 00:00:00+05:30,615.0,646.85,601.7,609.0,236886
2019-07-30 00:00:00+05:30,603.0,607.95,565.8,569.95,199842
2019-07-31 00:00:00+05:30,569.95,570.0,548.65,560.05,104634
2019-08-01 00:00:00+05:30,563.0,574.95,557.0,564.0,57906
2019-08-02 00:00:00+05:30,564.0,564.9,554.3,557.95,69688
