date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,273.45,274.35,261.2,264.4,437556
2015-02-03 00:00:00+05:30,265.0,270.0,262.4,268.15,570313
2015-02-04 00:00:00+05:30,269.9,269.9,261.1,262.0,257395
2015-02-05 00:00:00+05:30,262.8,265.0,254.75,259.5,289351
2015-02-06 00:00:00+05:30,265.8,265.8,254.05,258.3,118026
2015-02-09 00:00:00+05:30,255.05,266.0,252.8,263.6,193647
2015-02-10 00:00:00+05:30,261.0,265.0,258.6,260.0,381778
2015-02-11 00:00:00+05:30,261.25,269.7,260.4,268.5,88102
2015-02-12 00:00:00+05:30,268.9,282.3,268.9,274.5,450149
2015-02-13 00:00:00+05:30,274.7,282.0,271.5,276.05,274217
2015-02-16 00:00:00+05:30,277.0,278.0,264.4,265.0,67013
2015-02-18 00:00:00+05:30,266.55,272.95,259.4,265.1,221460
2015-02-19 00:00:00+05:30,271.0,286.9,270.0,279.0,699553
2015-02-20 00:00:00+05:30,283.1,288.2,276.3,279.5,196436
2015-02-24 00:00:00+05:30,271.05,284.85,271.05,276.0,526322
2015-02-25 00:00:00+05:30,279.2,288.8,278.0,280.15,419550
2015-02-26 00:00:00+05:30,280.8,285.0,271.05,283.0,242024
2015-02-27 00:00:00+05:30,278.0,281.9,276.0,279.0,852584
2015-02-28 00:00:00+05:30,283.0,293.7,275.25,284.05,231086
2015-03-02 00:00:00+05:30,288.3,289.8,276.35,277.1,630127
2015-03-03 00:00:00+05:30,278.45,281.5,273.6,275.7,234982
2015-03-04 00:00:00+05:30,278.95,282.8,274.05,279.25,632389
2015-03-05 00:00:00+05:30,279.25,299.0,278.2,296.5,676884
2015-03-09 00:00:00+05:30,298.45,298.95,271.25,274.2,207206
2015-03-10 00:00:00+05:30,277.0,278.65,265.0,266.3,184857
2015-03-11 00:00:00+05:30,266.0,272.8,260.3,265.0,212886
2015-03-12 00:00:00+05:30,266.95,269.0,255.0,260.4,433082
2015-03-13 00:00:00+05:30,262.9,269.7,261.1,262.3,169659
2015-03-16 00:00:00+05:30,266.0,273.95,264.8,273.0,239494
2015-03-17 00:00:00+05:30,273.0,279.5,269.9,274.05,182817
2015-03-18 00:00:00+05:30,274.0,274.6,265.5,268.9,252581
2015-03-19 00:00:00+05:30,272.6,273.7,266.5,270.0,243789
2015-03-20 00:00:00+05:30,269.0,269.0,258.0,261.7,291212
2015-03-23 00:00:00+05:30,263.95,273.95,261.95,273.0,177626
2015-03-24 00:00:00+05:30,273.8,278.8,265.95,271.0,258572
2015-03-25 00:00:00+05:30,272.4,273.4,266.1,269.2,569357
2015-04-27 00:00:00+05:30,255.9,255.9,238.4,243.15,403667
2015-04-28 00:00:00+05:30,243.0,244.1,236.65,239.0,490734
2015-04-29 00:00:00+05:30,241.4,243.8,229.0,237.5,288123
2015-04-30 00:00:00+05:30,239.85,244.9,232.8,244.0,163393
2015-05-04 00:00:00+05:30,244.0,254.3,240.85,251.0,291698
2015-05-05 00:00:00+05:30,253.75,257.3,246.65,254.0,498951
2015-05-06 00:00:00+05:30,252.6,265.0,249.15,257.0,305615
2015-05-07 00:00:00+05:30,265.95,266.7,245.25,252.9,1064452
2015-05-08 00:00:00+05:30,252.0,263.95,252.0,261.5,697619
2015-05-11 00:00:00+05:30,263.4,293.0,262.3,280.0,423828
2015-05-12 00:00:00+05:30,279.7,279.7,267.0,270.05,421182
2015-05-13 00:00:00+05:30,272.9,272.9,259.85,259.85,839143
2015-05-14 00:00:00+05:30,261.7,269.5,256.25,267.5,185507
2015-05-15 00:00:00+05:30,267.8,282.0,267.05,274.3,275336
2015-05-18 00:00:00+05:30,273.5,273.5,269.0,270.0,47293
2015-05-19 00:00:00+05:30,270.0,273.15,268.0,268.65,111973
2015-05-20 00:00:00+05:30,268.0,275.7,267.5,269.0,77391
2015-05-21 00:00:00+05:30,268.3,270.9,265.5,268.3,409570
2015-05-22 00:00:00+05:30,271.8,273.4,269.0,270.0,33333
2015-05-25 00:00:00+05:30,269.8,271.95,266.0,267.55,21689
2015-05-26 00:00:00+05:30,269.15,269.7,263.75,264.1,28481
2015-05-28 00:00:00+05:30,260.0,264.9,256.5,258.25,417274
2015-05-29 00:00:00+05:30,260.0,268.0,233.3,256.0,761387
2015-06-01 00:00:00+05:30,254.95,291.0,254.0,281.1,1023162
2015-06-02 00:00:00+05:30,276.0,278.75,256.05,259.9,316818
2015-06-03 00:00:00+05:30,261.9,263.45,247.15,256.0,129486
2015-06-04 00:00:00+05:30,255.3,263.3,251.1,260.0,137636
2015-06-05 00:00:00+05:30,257.0,259.9,252.25,257.0,67648
2015-06-08 00:00:00+05:30,257.2,259.35,245.8,249.65,63184
2015-06-09 00:00:00+05:30,253.9,254.9,244.0,253.0,164373
2015-06-10 00:00:00+05:30,248.7,257.4,248.7,253.25,1052734
2015-06-11 00:00:00+05:30,253.4,268.7,253.4,256.95,213475
2015-06-12 00:00:00+05:30,252.4,256.45,248.3,255.8,55747
2015-06-15 00:00:00+05:30,258.3,258.3,252.6,253.25,30930
2015-06-16 00:00:00+05:30,254.35,256.25,249.0,250.9,42912
2015-06-17 00:00:00+05:30,250.2,254.4,244.85,245.75,622809
2015-06-18 00:00:00+05:30,249.35,249.5,243.8,246.95,105970
2015-06-19 00:00:00+05:30,251.1,253.0,242.2,242.8,1072081
2015-06-22 00:00:00+05:30,246.0,252.0,243.45,250.5,175588
2015-06-23 00:00:00+05:30,251.2,259.4,251.2,253.75,118542
2015-06-24 00:00:00+05:30,255.7,260.9,253.15,254.0,170934
2015-06-25 00:00:00+05:30,253.0,255.9,250.1,251.3,49326
2015-06-26 00:00:00+05:30,252.5,254.95,248.2,248.75,69347
2015-06-29 00:00:00+05:30,242.0,247.5,241.95,244.95,28773
2015-06-30 00:00:00+05:30,245.0,249.0,245.0,247.45,956951
2015-07-01 00:00:00+05:30,252.6,254.0,250.0,251.0,213737
2015-07-02 00:00:00+05:30,252.0,254.7,250.2,251.5,38578
2015-07-03 00:00:00+05:30,250.0,253.9,247.25,248.0,61629
2015-07-06 00:00:00+05:30,244.55,249.5,243.35,246.6,43828
2015-07-07 00:00:00+05:30,248.7,254.8,246.55,248.65,321051
2015-07-08 00:00:00+05:30,247.0,249.5,243.1,244.4,29179
2015-07-09 00:00:00+05:30,248.6,250.5,239.0,239.6,119314
2015-07-10 00:00:00+05:30,243.5,247.3,243.0,244.6,587537
2015-07-13 00:00:00+05:30,247.65,247.65,238.25,241.6,94817
2015-07-14 00:00:00+05:30,243.0,243.55,238.1,239.05,230937
2015-07-15 00:00:00+05:30,240.0,240.8,236.7,239.65,209107
2015-07-16 00:00:00+05:30,240.0,242.15,236.7,237.5,191555
2015-07-17 00:00:00+05:30,238.0,238.0,232.0,232.2,319279
2015-07-20 00:00:00+05:30,234.25,234.5,221.35,223.0,394873
2015-07-21 00:00:00+05:30,224.8,230.3,224.8,226.65,370398
2015-07-22 00:00:00+05:30,226.0,226.5,222.2,224.0,281117
2015-07-23 00:00:00+05:30,226.5,226.5,221.8,223.0,425569
2015-07-24 00:00:00+05:30,225.9,225.9,216.8,220.0,1181762
2015-07-27 00:00:00+05:30,224.0,224.0,212.9,214.3,128865
2015-07-29 00:00:00+05:30,206.2,211.5,202.55,207.45,275407
2015-07-30 00:00:00+05:30,209.0,213.65,206.3,210.0,151654
2015-07-31 00:00:00+05:30,211.2,221.65,211.0,220.0,664599
2015-08-03 00:00:00+05:30,220.0,223.0,220.0,220.5,96142
2015-08-04 00:00:00+05:30,220.1,226.55,219.45,222.3,592529
2015-08-05 00:00:00+05:30,223.45,225.65,214.7,219.9,678034
2015-08-06 00:00:00+05:30,221.7,228.7,221.0,228.3,190415
2015-08-07 00:00:00+05:30,229.9,231.0,218.1,223.0,171543
2015-08-10 00:00:00+05:30,224.0,229.0,221.0,221.8,65537
2015-08-11 00:00:00+05:30,223.5,226.7,220.75,224.05,113803
2015-08-12 00:00:00+05:30,223.0,224.8,202.5,206.9,1644382
2015-08-13 00:00:00+05:30,207.0,211.65,206.35,210.2,525743
2015-08-14 00:00:00+05:30,213.2,219.1,210.6,218.85,424295
2015-08-17 00:00:00+05:30,217.0,223.55,215.05,220.7,204329
2015-08-18 00:00:00+05:30,222.0,222.0,214.55,215.5,289569
2015-08-19 00:00:00+05:30,215.5,217.0,206.0,209.9,1017518
2015-08-20 00:00:00+05:30,209.9,212.25,201.0,201.5,213355
2015-08-21 00:00:00+05:30,200.9,200.9,193.35,196.55,714579
2015-08-24 00:00:00+05:30,190.0,192.15,180.1,185.0,484152
2015-08-25 00:00:00+05:30,185.0,197.35,185.0,196.9,1734222
2015-08-26 00:00:00+05:30,196.0,196.0,184.9,191.8,239718
2015-08-27 00:00:00+05:30,195.15,204.8,192.65,202.3,115919
2015-08-31 00:00:00+05:30,210.0,212.75,201.75,202.3,242028
2015-09-01 00:00:00+05:30,201.5,205.7,200.65,204.9,156120
2015-09-02 00:00:00+05:30,203.85,209.5,201.0,203.0,161236
2015-09-03 00:00:00+05:30,203.5,207.75,200.35,202.2,148672
2015-09-04 00:00:00+05:30,202.0,213.9,194.0,203.1,397895
2015-09-07 00:00:00+05:30,205.0,207.9,201.3,206.7,2247029
2015-09-08 00:00:00+05:30,204.25,207.3,197.65,204.75,608588
2015-09-09 00:00:00+05:30,207.0,219.0,205.75,206.6,309545
2015-09-10 00:00:00+05:30,207.0,211.65,202.55,204.0,191695
2015-09-11 00:00:00+05:30,206.85,214.45,206.0,212.5,78686
2015-09-14 00:00:00+05:30,211.3,222.75,211.3,213.55,195847
2015-09-15 00:00:00+05:30,217.8,217.8,210.2,212.2,112111
2015-09-16 00:00:00+05:30,215.0,216.6,210.2,210.3,78664
2015-09-18 00:00:00+05:30,215.0,220.8,206.6,208.25,190062
2015-09-21 00:00:00+05:30,210.0,215.65,207.05,214.0,309612
2015-09-22 00:00:00+05:30,216.65,217.5,209.55,210.95,80183
2015-09-23 00:00:00+05:30,209.05,212.0,206.25,206.65,750271
2015-09-24 00:00:00+05:30,210.0,211.9,207.3,207.65,34437
2015-10-30 00:00:00+05:30,207.75,210.0,202.6,202.65,42931
2015-11-02 00:00:00+05:30,205.05,206.65,201.0,201.7,35557
2015-11-03 00:00:00+05:30,202.8,206.0,202.8,205.45,26236
2015-11-04 00:00:00+05:30,206.0,207.7,202.6,203.6,12881
2015-11-05 00:00:00+05:30,205.75,205.75,198.65,201.95,16330
2015-11-06 00:00:00+05:30,200.5,203.2,196.1,199.0,13549
2015-11-09 00:00:00+05:30,198.8,198.8,193.2,194.7,27687
2015-11-10 00:00:00+05:30,199.7,199.9,185.0,188.05,278258
2015-11-11 00:00:00+05:30,192.0,197.0,191.3,196.4,28084
2015-11-13 00:00:00+05:30,193.35,198.05,192.95,196.4,272813
2015-11-16 00:00:00+05:30,194.9,197.35,193.05,195.7,91407
2015-11-17 00:00:00+05:30,196.7,197.55,193.3,193.75,51721
2015-11-18 00:00:00+05:30,193.65,195.55,190.0,191.5,44961
2015-11-19 00:00:00+05:30,193.0,193.55,185.5,189.0,35795
2015-11-20 00:00:00+05:30,189.1,193.8,187.5,190.0,88095
2015-11-23 00:00:00+05:30,192.35,204.9,190.65,202.2,189869
2015-11-24 00:00:00+05:30,200.0,208.0,200.0,205.65,57545
2015-11-26 00:00:00+05:30,204.8,205.55,202.15,203.95,180506
2015-11-27 00:00:00+05:30,201.25,205.5,201.1,205.5,157861
2015-11-30 00:00:00+05:30,204.7,207.25,202.4,203.0,67359
2015-12-01 00:00:00+05:30,206.0,206.9,203.0,205.3,18329
2015-12-02 00:00:00+05:30,205.75,224.85,204.85,215.4,433404
2015-12-03 00:00:00+05:30,215.0,221.6,210.75,218.0,134787
2015-12-04 00:00:00+05:30,214.85,217.85,212.0,213.5,46580
2015-12-07 00:00:00+05:30,217.0,222.0,213.7,219.2,76461
2015-12-08 00:00:00+05:30,216.05,219.9,206.95,207.85,32992
2015-12-09 00:00:00+05:30,211.3,211.3,201.0,202.95,64794
2015-12-10 00:00:00+05:30,206.0,211.9,206.0,210.0,54040
2015-12-11 00:00:00+05:30,207.0,207.0,194.5,196.05,269967
2015-12-14 00:00:00+05:30,192.2,197.65,192.2,196.3,63017
2015-12-15 00:00:00+05:30,198.0,202.9,197.9,198.4,85215
2015-12-16 00:00:00+05:30,200.95,202.0,196.0,198.15,94482
2015-12-17 00:00:00+05:30,199.7,203.05,196.25,197.2,138628
2015-12-18 00:00:00+05:30,197.75,200.0,195.05,195.7,140197
2015-12-21 00:00:00+05:30,194.7,198.6,194.7,197.25,22150
2015-12-22 00:00:00+05:30,197.95,199.85,193.0,193.7,85645
2015-12-23 00:00:00+05:30,199.9,203.7,193.8,194.1,289582
2015-12-24 00:00:00+05:30,195.65,197.65,194.0,194.55,46354
2015-12-28 00:00:00+05:30,195.0,195.9,194.0,194.2,33862
2015-12-29 00:00:00+05:30,195.9,199.0,194.6,195.4,93468
2015-12-31 00:00:00+05:30,196.0,196.8,192.4,193.55,41800
2016-01-04 00:00:00+05:30,194.75,197.9,188.5,190.05,91916
2016-01-05 00:00:00+05:30,191.15,194.0,190.2,190.9,43704
2016-01-06 00:00:00+05:30,191.95,197.9,191.0,196.95,123674
2016-01-07 00:00:00+05:30,191.8,193.9,188.8,189.45,48678
2016-01-08 00:00:00+05:30,192.0,195.0,189.5,190.3,46191
2016-01-11 00:00:00+05:30,189.45,194.5,185.35,192.1,48542
2016-01-12 00:00:00+05:30,192.0,194.75,190.15,191.2,44512
2016-01-13 00:00:00+05:30,193.95,194.4,188.0,192.0,128603
2016-01-14 00:00:00+05:30,190.0,193.25,188.0,193.25,196904
2016-01-15 00:00:00+05:30,191.0,193.5,185.0,185.5,120852
2016-01-18 00:00:00+05:30,183.15,186.95,169.7,173.0,136843
2016-01-19 00:00:00+05:30,175.25,185.5,171.9,183.75,82513
2016-01-20 00:00:00+05:30,183.65,183.65,173.2,174.1,103141
2016-01-21 00:00:00+05:30,176.5,179.0,174.2,176.7,72910
2016-01-22 00:00:00+05:30,177.95,183.0,175.9,176.5,127233
2016-01-25 00:00:00+05:30,179.0,183.5,178.05,180.8,164253
2016-01-27 00:00:00+05:30,184.0,189.9,178.15,188.4,39624
2016-01-28 00:00:00+05:30,184.2,192.0,183.55,185.1,46545
2016-01-29 00:00:00+05:30,183.55,188.7,183.55,185.0,63419
2016-02-01 00:00:00+05:30,186.7,190.85,185.6,187.0,686892
2016-02-02 00:00:00+05:30,188.5,189.2,184.15,185.5,173604
2016-02-03 00:00:00+05:30,182.05,183.75,174.0,174.15,31307
2016-02-04 00:00:00+05:30,176.15,176.15,165.15,168.5,33083
2016-02-05 00:00:00+05:30,167.5,173.15,167.0,172.05,58149
2016-02-08 00:00:00+05:30,172.1,177.0,172.0,175.9,25365
2016-02-09 00:00:00+05:30,173.0,174.0,167.45,169.8,35662
2016-02-10 00:00:00+05:30,164.7,164.7,156.0,160.0,479541
2016-02-11 00:00:00+05:30,160.7,165.8,159.05,163.0,385772
2016-02-12 00:00:00+05:30,163.6,163.6,157.5,160.0,504002
2016-02-15 00:00:00+05:30,161.95,174.8,161.95,170.0,163643
2016-02-16 00:00:00+05:30,172.7,172.7,154.3,158.2,359779
2016-02-17 00:00:00+05:30,158.05,159.8,152.0,157.85,375008
2016-02-18 00:00:00+05:30,159.9,160.85,155.8,158.9,79004
2016-02-19 00:00:00+05:30,158.05,159.75,156.25,157.1,16373
2016-02-22 00:00:00+05:30,159.8,161.0,155.1,155.1,1072845
2016-02-23 00:00:00+05:30,158.15,158.15,153.0,153.4,24568
2016-02-24 00:00:00+05:30,155.0,156.5,152.6,155.15,110668
2016-02-25 00:00:00+05:30,154.15,157.75,153.65,154.0,159097
2016-02-26 00:00:00+05:30,156.15,157.95,149.5,152.1,186816
2016-02-29 00:00:00+05:30,154.0,154.5,148.3,149.0,242904
