date,open,high,low,close,volume
2019-04-11 00:00:00+05:30,18.9,19.8,18.65,19.1,83690444
2019-04-12 00:00:00+05:30,19.3,19.85,19.2,19.8,29697924
2019-04-15 00:00:00+05:30,20.0,23.7,19.9,23.7,80570287
2019-04-16 00:00:00+05:30,24.5,26.95,24.25,25.65,96815501
2019-04-18 00:00:00+05:30,26.35,26.85,25.15,26.25,48600753
2019-04-22 00:00:00+05:30,26.25,26.4,24.35,24.45,27444466
2019-04-23 00:00:00+05:30,24.5,24.65,23.0,23.3,23329461
2019-04-24 00:00:00+05:30,23.45,24.15,23.35,23.7,10285802
2019-04-25 00:00:00+05:30,23.95,24.15,23.2,23.6,9577263
2019-04-26 00:00:00+05:30,23.5,23.65,22.95,23.05,7063252
2019-04-30 00:00:00+05:30,23.05,23.05,21.2,22.1,12820921
2019-05-02 00:00:00+05:30,22.05,24.45,22.05,24.0,21769024
2019-05-03 00:00:00+05:30,24.2,24.35,23.1,23.25,7570096
2019-05-06 00:00:00+05:30,22.75,23.1,22.2,22.75,4628113
2019-05-07 00:00:00+05:30,23.2,23.55,22.7,22.9,4679312
2019-05-08 00:00:00+05:30,22.7,23.0,22.5,22.7,4381669
2019-05-09 00:00:00+05:30,22.5,23.2,22.5,22.9,5247421
2019-05-10 00:00:00+05:30,23.0,23.1,22.6,22.6,3896717
2019-05-13 00:00:00+05:30,22.8,22.9,21.85,22.05,6514962
2019-05-14 00:00:00+05:30,21.3,22.0,21.3,21.95,4411843
2019-05-15 00:00:00+05:30,21.9,22.4,21.75,21.9,2776804
2019-05-16 00:00:00+05:30,22.0,22.05,21.5,21.9,2615589
2019-05-17 00:00:00+05:30,21.7,22.4,21.45,22.2,4042950
2019-05-20 00:00:00+05:30,24.2,24.5,22.8,23.95,9898710
2019-05-21 00:00:00+05:30,24.0,24.1,23.1,23.4,3872824
2019-05-22 00:00:00+05:30,23.15,24.0,22.9,23.95,4194997
2019-05-23 00:00:00+05:30,24.5,25.15,23.55,23.8,13720456
2019-05-24 00:00:00+05:30,24.15,26.0,23.55,25.6,24230225
2019-05-27 00:00:00+05:30,26.0,28.05,25.75,28.0,35452871
2019-05-28 00:00:00+05:30,28.2,29.9,27.4,29.15,39852355
2019-05-29 00:00:00+05:30,29.2,29.75,27.6,28.9,25026828
2019-05-30 00:00:00+05:30,29.0,29.5,27.7,28.2,14774855
2019-05-31 00:00:00+05:30,28.15,28.2,26.55,26.9,16676576
2019-06-03 00:00:00+05:30,26.9,27.0,25.85,26.2,10743545
2019-06-04 00:00:00+05:30,26.2,28.35,25.7,27.7,29248561
2019-06-06 00:00:00+05:30,27.9,28.35,27.35,27.9,16487358
2019-06-07 00:00:00+05:30,28.15,28.25,27.15,27.35,8812154
2019-06-10 00:00:00+05:30,27.5,27.85,26.4,26.7,8071960
2019-06-12 00:00:00+05:30,26.2,26.75,25.85,26.0,6338587
2019-06-13 00:00:00+05:30,25.95,26.3,25.75,25.9,4658106
2019-06-14 00:00:00+05:30,25.95,26.9,25.95,26.75,7987199
2019-06-17 00:00:00+05:30,26.95,27.4,26.5,26.95,6544987
2019-06-18 00:00:00+05:30,27.0,27.25,26.5,26.7,5204380
2019-06-19 00:00:00+05:30,26.85,27.1,25.8,26.15,6078821
2019-06-20 00:00:00+05:30,26.05,26.8,25.6,26.6,5220813
2019-06-21 00:00:00+05:30,26.45,26.75,26.2,26.3,4431936
2019-06-24 00:00:00+05:30,26.4,26.5,25.9,26.05,3086239
2019-06-25 00:00:00+05:30,26.05,26.25,25.9,26.05,2143299
2019-06-26 00:00:00+05:30,26.1,27.0,25.95,26.6,5540709
2019-06-27 00:00:00+05:30,26.65,27.9,26.6,27.85,10614817
2019-06-28 00:00:00+05:30,28.0,28.2,27.5,27.8,6744809
2019-07-01 00:00:00+05:30,28.05,28.15,27.65,27.8,4699248
2019-07-02 00:00:00+05:30,27.8,27.9,27.15,27.8,4349605
2019-07-03 00:00:00+05:30,27.75,28.85,27.7,28.65,10632341
