date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,14.7,15.7,14.7,15.25,35455134
2015-02-03 00:00:00+05:30,15.55,16.4,15.1,15.75,66355571
2015-02-04 00:00:00+05:30,15.85,16.75,15.6,16.1,78475762
2015-02-05 00:00:00+05:30,16.15,16.65,15.4,15.65,48221120
2015-02-06 00:00:00+05:30,15.7,15.9,14.75,15.35,33992515
2015-02-09 00:00:00+05:30,15.1,16.6,14.85,16.05,70043489
2015-02-10 00:00:00+05:30,16.0,17.1,15.6,16.3,52264286
2015-02-11 00:00:00+05:30,16.6,16.9,16.1,16.25,36645435
2015-02-12 00:00:00+05:30,16.5,17.85,16.25,17.8,96785207
2015-02-13 00:00:00+05:30,17.65,18.3,16.3,17.55,153317271
2015-02-16 00:00:00+05:30,20.65,21.1,19.2,21.1,247443818
2015-02-19 00:00:00+05:30,24.95,25.1,22.6,22.9,117964372
2015-02-20 00:00:00+05:30,22.7,24.25,22.25,23.55,81177114
2015-02-23 00:00:00+05:30,23.7,24.4,22.95,23.1,64253228
2015-02-24 00:00:00+05:30,24.2,24.9,23.75,24.1,91929168
2015-02-25 00:00:00+05:30,24.25,24.5,23.6,23.95,49813272
2015-02-26 00:00:00+05:30,24.15,24.2,23.4,23.7,27903296
2015-02-27 00:00:00+05:30,23.35,25.95,23.05,25.6,114098166
2015-02-28 00:00:00+05:30,25.95,26.9,24.05,25.0,119671703
2015-03-02 00:00:00+05:30,25.5,26.0,24.9,25.2,48746511
2015-03-03 00:00:00+05:30,25.3,25.5,24.5,24.75,39865122
2015-03-04 00:00:00+05:30,25.0,25.15,22.55,23.15,52044516
2015-03-05 00:00:00+05:30,23.15,24.5,22.7,24.3,53023214
2015-03-09 00:00:00+05:30,24.4,25.35,24.05,24.95,83303529
2015-03-10 00:00:00+05:30,25.1,25.15,24.2,24.55,36231752
2015-03-11 00:00:00+05:30,24.6,24.75,23.1,23.4,39741227
2015-03-12 00:00:00+05:30,23.6,25.15,23.55,25.15,44493798
2015-03-13 00:00:00+05:30,25.35,25.5,23.85,24.25,58252557
2015-03-16 00:00:00+05:30,23.95,24.65,23.7,23.9,26520826
2015-03-17 00:00:00+05:30,24.05,24.9,24.05,24.4,37476064
2015-03-18 00:00:00+05:30,24.4,27.4,24.35,27.25,166632752
2015-03-19 00:00:00+05:30,27.65,28.75,25.8,26.15,147909462
2015-03-20 00:00:00+05:30,26.4,27.05,24.35,24.95,111148534
2015-03-23 00:00:00+05:30,25.15,25.8,24.2,25.0,67721180
2015-03-24 00:00:00+05:30,25.05,25.45,24.65,24.75,37004207
2015-03-25 00:00:00+05:30,25.0,25.1,24.35,24.4,29649450
2015-03-26 00:00:00+05:30,24.15,24.9,23.9,24.4,32139583
2015-03-27 00:00:00+05:30,24.6,25.0,23.7,24.5,41889110
2015-03-30 00:00:00+05:30,24.85,25.65,24.85,25.4,41106912
2015-03-31 00:00:00+05:30,25.5,25.8,25.0,25.05,33651702
2015-04-01 00:00:00+05:30,24.95,25.1,23.6,24.1,92644254
2015-04-06 00:00:00+05:30,25.5,25.8,25.0,25.35,73769325
2015-04-07 00:00:00+05:30,25.5,27.25,25.1,26.9,131498530
2015-04-08 00:00:00+05:30,27.15,27.8,25.95,26.15,119638502
2015-04-09 00:00:00+05:30,26.65,27.15,25.35,26.85,137505294
2015-04-10 00:00:00+05:30,26.8,26.85,25.85,25.95,47295847
2015-04-13 00:00:00+05:30,26.05,26.35,25.65,25.9,41085897
2015-04-15 00:00:00+05:30,26.05,26.65,25.6,26.0,63648184
2015-04-16 00:00:00+05:30,26.1,26.25,25.05,25.5,47392026
2015-04-17 00:00:00+05:30,25.7,26.15,25.15,25.35,45914668
2015-04-20 00:00:00+05:30,25.25,25.35,24.05,24.35,35139370
