date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,91.15,92.45,89.3,90.85,5218574
2015-02-03 00:00:00+05:30,91.45,91.75,86.95,87.45,3232601
2015-02-05 00:00:00+05:30,90.65,91.05,82.35,82.75,8617369
2015-02-06 00:00:00+05:30,83.7,84.4,80.6,82.2,6225013
2015-02-09 00:00:00+05:30,80.3,80.9,78.45,80.2,6658023
2015-02-10 00:00:00+05:30,78.3,82.1,77.95,81.4,6054305
2015-02-11 00:00:00+05:30,81.95,82.7,81.5,81.95,1914357
2015-02-12 00:00:00+05:30,82.35,84.3,81.8,83.9,2810488
2015-02-13 00:00:00+05:30,84.5,84.65,83.2,84.25,2587974
2015-02-16 00:00:00+05:30,84.25,85.0,83.4,84.2,1905984
2015-02-18 00:00:00+05:30,84.45,86.8,84.0,86.1,2945170
2015-02-19 00:00:00+05:30,86.3,88.75,83.5,88.25,3942769
2015-02-20 00:00:00+05:30,88.35,88.55,85.45,86.3,3311509
2015-02-23 00:00:00+05:30,86.4,87.8,84.45,84.55,4072254
2015-02-24 00:00:00+05:30,85.2,86.1,83.3,84.0,4189016
2015-02-25 00:00:00+05:30,84.75,85.4,82.6,82.7,2035732
2015-02-26 00:00:00+05:30,82.5,83.65,81.2,82.9,4003047
2015-02-27 00:00:00+05:30,84.65,87.9,84.65,87.1,7810682
2015-02-28 00:00:00+05:30,89.0,89.0,84.55,86.4,4870554
2015-03-02 00:00:00+05:30,86.85,87.4,85.1,86.25,3154900
2015-03-03 00:00:00+05:30,86.15,87.8,85.4,87.3,2793754
2015-03-04 00:00:00+05:30,88.15,88.25,83.8,84.4,2745840
2015-03-05 00:00:00+05:30,84.5,85.85,84.0,85.0,2387366
2015-03-09 00:00:00+05:30,84.45,84.85,82.0,82.3,2207902
2015-03-10 00:00:00+05:30,82.65,83.2,80.85,81.2,2356703
2015-03-11 00:00:00+05:30,81.2,82.15,80.6,80.9,3329638
2015-03-12 00:00:00+05:30,81.5,82.3,81.2,81.6,3001218
2015-03-13 00:00:00+05:30,82.5,82.5,79.4,80.15,3672897
2015-03-16 00:00:00+05:30,79.95,81.45,79.5,81.15,2843562
2015-03-17 00:00:00+05:30,81.4,81.8,80.05,80.6,2382574
2015-03-18 00:00:00+05:30,80.1,82.1,78.85,80.3,5888791
2015-03-19 00:00:00+05:30,80.8,81.75,79.5,79.8,2899976
2015-03-20 00:00:00+05:30,79.9,80.4,78.65,78.9,2394589
2015-03-23 00:00:00+05:30,79.4,79.5,78.45,78.7,2490158
2015-03-24 00:00:00+05:30,78.75,79.45,78.15,78.55,2553636
2015-03-25 00:00:00+05:30,78.55,78.85,77.25,77.5,1889758
2015-03-26 00:00:00+05:30,77.75,78.2,76.0,76.5,4555994
2015-03-27 00:00:00+05:30,76.9,76.95,74.0,74.8,3752570
2015-03-30 00:00:00+05:30,75.8,75.8,73.55,74.7,4608663
2015-03-31 00:00:00+05:30,75.1,77.5,75.0,77.05,6821197
2015-04-01 00:00:00+05:30,77.0,77.9,76.7,77.8,2788894
2015-04-06 00:00:00+05:30,78.0,78.3,76.1,77.5,4739064
2015-04-08 00:00:00+05:30,78.75,79.0,77.15,77.4,2223041
2015-04-09 00:00:00+05:30,77.8,78.55,77.35,78.15,1942882
2015-04-10 00:00:00+05:30,78.65,79.6,78.0,78.75,1929372
2015-04-13 00:00:00+05:30,79.2,80.45,78.9,79.95,2406705
2015-04-15 00:00:00+05:30,80.55,82.35,79.4,80.85,4612697
2015-04-16 00:00:00+05:30,81.25,81.3,79.35,80.0,1784003
2015-04-17 00:00:00+05:30,79.9,81.5,79.25,80.45,1595046
2015-04-20 00:00:00+05:30,80.4,81.05,78.45,78.65,1980645
2015-04-21 00:00:00+05:30,78.5,79.4,77.15,77.6,2389522
2015-04-22 00:00:00+05:30,77.5,79.45,76.7,78.85,3360363
2015-04-23 00:00:00+05:30,79.8,80.35,78.6,79.0,2343202
