date,open,high,low,close,volume
2015-02-02 00:00:00+05:30,307.7,308.4,283.05,285.25,4432064
2015-02-03 00:00:00+05:30,286.05,298.9,280.6,283.0,7555374
2015-02-04 00:00:00+05:30,287.35,297.65,284.9,295.7,3904529
2015-02-06 00:00:00+05:30,294.3,295.85,285.2,295.5,2143533
2015-02-09 00:00:00+05:30,288.95,297.5,287.0,295.2,2033679
2015-02-10 00:00:00+05:30,293.8,297.35,287.15,296.55,1878584
2015-02-11 00:00:00+05:30,297.1,304.0,293.75,303.5,1922554
2015-02-12 00:00:00+05:30,304.15,306.0,301.15,305.0,1529678
2015-02-13 00:00:00+05:30,305.0,310.95,302.6,307.8,1829036
2015-02-16 00:00:00+05:30,309.25,310.35,301.25,303.45,1960899
2015-02-18 00:00:00+05:30,303.0,305.0,299.75,301.9,1411312
2015-02-19 00:00:00+05:30,303.0,303.0,290.4,295.25,1593167
2015-02-20 00:00:00+05:30,296.05,299.7,292.5,295.95,1222068
2015-02-23 00:00:00+05:30,297.25,297.8,287.6,288.0,1681709
2015-02-24 00:00:00+05:30,289.75,290.65,267.85,268.5,4449709
2015-02-25 00:00:00+05:30,269.95,275.35,267.05,272.65,3869308
2015-02-26 00:00:00+05:30,272.9,273.5,261.0,273.0,4077352
2015-02-27 00:00:00+05:30,275.0,282.95,272.15,282.05,2215822
2015-02-28 00:00:00+05:30,284.5,284.6,270.5,278.9,1772242
2015-03-02 00:00:00+05:30,281.25,281.9,269.25,271.15,2309252
2015-03-03 00:00:00+05:30,287.0,297.35,283.5,292.2,7634695
2015-03-04 00:00:00+05:30,295.9,296.0,284.45,289.0,2006744
2015-03-05 00:00:00+05:30,291.45,293.55,285.1,293.05,1639818
2015-03-09 00:00:00+05:30,286.7,296.0,285.5,287.1,1594646
2015-03-10 00:00:00+05:30,288.1,296.9,287.15,296.65,1527227
2015-03-11 00:00:00+05:30,296.1,296.9,283.75,285.6,2216236
2015-03-12 00:00:00+05:30,287.6,291.25,283.15,289.65,1350345
2015-03-13 00:00:00+05:30,291.55,291.55,276.4,277.5,1522037
2015-03-16 00:00:00+05:30,271.95,275.75,269.2,274.6,1764559
2015-03-17 00:00:00+05:30,277.0,284.0,275.75,283.0,1636456
2015-03-18 00:00:00+05:30,283.0,283.8,277.05,278.2,1106452
2015-03-19 00:00:00+05:30,282.8,283.0,271.4,272.0,1786335
2015-03-20 00:00:00+05:30,273.85,273.85,264.3,270.95,1753445
2015-03-23 00:00:00+05:30,268.0,270.95,262.15,267.9,2055958
2015-03-24 00:00:00+05:30,265.0,267.0,251.8,260.0,3050196
2015-03-25 00:00:00+05:30,261.0,262.0,256.25,258.85,1820002
2015-03-26 00:00:00+05:30,258.7,271.9,258.0,270.1,2810941
2015-03-27 00:00:00+05:30,270.25,274.45,266.1,271.4,2203375
2015-03-30 00:00:00+05:30,273.45,273.75,262.65,267.85,2203701
2015-03-31 00:00:00+05:30,267.8,269.0,261.0,263.5,1857465
2015-04-01 00:00:00+05:30,262.1,262.1,252.6,256.0,3407924
2015-04-06 00:00:00+05:30,255.65,256.1,248.1,252.8,3139402
2015-04-07 00:00:00+05:30,251.6,258.3,251.5,255.65,1787285
2015-04-09 00:00:00+05:30,252.7,253.6,248.8,250.65,2430608
2015-04-10 00:00:00+05:30,251.0,258.0,251.0,256.5,1928647
2015-04-13 00:00:00+05:30,258.5,260.9,253.5,254.0,3438361
2015-04-15 00:00:00+05:30,256.0,257.7,250.4,251.0,3394577
2015-04-16 00:00:00+05:30,250.85,252.0,242.4,245.2,2790194
2015-04-17 00:00:00+05:30,242.2,249.0,237.35,245.7,2474964
2015-04-20 00:00:00+05:30,246.0,247.95,231.0,233.7,2050308
2015-04-21 00:00:00+05:30,233.0,241.6,226.1,237.5,2712031
2015-04-22 00:00:00+05:30,239.0,240.85,232.5,240.05,2383579
2015-04-23 00:00:00+05:30,238.75,243.3,230.85,233.0,2598036
2015-04-24 00:00:00+05:30,233.5,236.3,226.8,232.95,1717265
2015-04-27 00:00:00+05:30,234.0,235.7,220.6,233.5,2416757
2015-04-28 00:00:00+05:30,229.0,230.9,224.2,227.15,1814155
2015-04-29 00:00:00+05:30,228.8,240.0,227.65,239.2,5710240
2015-04-30 00:00:00+05:30,239.9,241.25,234.0,236.0,4527188
2015-05-04 00:00:00+05:30,239.0,250.6,236.15,250.0,2807560
2015-05-05 00:00:00+05:30,249.5,249.95,238.2,239.45,1651467
2015-05-06 00:00:00+05:30,238.65,238.65,224.75,226.75,2964368
2015-05-07 00:00:00+05:30,225.0,225.45,208.4,216.65,4409617
2015-05-08 00:00:00+05:30,220.7,226.5,217.3,221.8,3547066
2015-05-11 00:00:00+05:30,222.3,227.9,222.3,227.05,1393865
2015-05-12 00:00:00+05:30,228.35,230.85,221.55,223.0,2049596
2015-05-13 00:00:00+05:30,225.0,227.05,217.95,220.5,2328351
2015-05-14 00:00:00+05:30,218.9,224.9,215.6,224.0,1706398
2015-05-15 00:00:00+05:30,225.5,227.0,219.55,222.0,1080220
2015-05-18 00:00:00+05:30,222.7,224.95,219.45,224.25,1228554
2015-05-19 00:00:00+05:30,223.5,225.6,221.05,222.0,1657099
2015-05-20 00:00:00+05:30,223.5,224.3,219.45,219.95,1093795
2015-05-21 00:00:00+05:30,220.85,232.5,218.25,229.4,3134918
2015-05-22 00:00:00+05:30,230.75,231.2,225.15,228.5,1587329
2015-05-25 00:00:00+05:30,228.05,233.3,226.1,229.75,1302602
2015-05-26 00:00:00+05:30,229.8,235.75,229.8,234.55,2128132
2015-05-27 00:00:00+05:30,232.0,239.5,231.55,235.95,1513426
2015-05-28 00:00:00+05:30,236.5,241.5,234.65,237.5,2346038
2015-05-29 00:00:00+05:30,237.4,239.9,233.9,237.0,1065169
2015-06-01 00:00:00+05:30,237.0,240.25,235.3,236.3,903929
2015-06-02 00:00:00+05:30,237.0,238.9,218.55,225.2,2462272
2015-06-03 00:00:00+05:30,223.55,226.35,214.9,224.6,2244297
2015-06-04 00:00:00+05:30,222.0,227.9,217.75,226.0,1615573
2015-06-05 00:00:00+05:30,225.0,227.3,221.8,222.1,1023836
2015-06-08 00:00:00+05:30,223.55,224.15,216.4,219.15,1314187
2015-06-10 00:00:00+05:30,218.1,225.5,218.1,223.1,847064
2015-06-11 00:00:00+05:30,227.25,233.25,225.1,227.7,2456618
2015-06-12 00:00:00+05:30,226.1,228.5,219.1,228.05,1320593
2015-06-15 00:00:00+05:30,225.35,227.85,222.85,226.1,867303
2015-06-16 00:00:00+05:30,227.0,228.9,222.8,227.6,888617
2015-06-17 00:00:00+05:30,228.8,233.25,228.5,231.4,1177400
2015-06-18 00:00:00+05:30,231.8,236.3,230.25,231.7,1165681
2015-06-19 00:00:00+05:30,233.0,241.0,232.5,240.3,1246145
2015-06-22 00:00:00+05:30,241.9,246.85,241.15,245.25,1192550
2015-06-23 00:00:00+05:30,246.35,248.0,241.95,242.2,1004610
2015-06-24 00:00:00+05:30,243.6,243.75,235.9,240.3,1387930
2015-06-25 00:00:00+05:30,239.5,243.45,237.4,239.05,2131894
2015-06-26 00:00:00+05:30,238.5,247.25,236.55,246.45,1300867
2015-06-29 00:00:00+05:30,239.7,243.2,235.0,242.75,1126293
2015-06-30 00:00:00+05:30,243.6,245.6,239.65,244.2,1235727
2015-07-01 00:00:00+05:30,245.25,247.95,243.9,245.25,909005
2015-07-02 00:00:00+05:30,250.0,259.7,250.0,257.1,3660620
2015-07-03 00:00:00+05:30,258.6,262.4,256.0,257.0,2065111
2015-07-06 00:00:00+05:30,255.5,265.85,252.35,265.0,2084536
2015-07-07 00:00:00+05:30,266.05,272.0,264.9,271.25,2125075
2015-07-08 00:00:00+05:30,266.9,272.75,262.45,264.3,1603556
2015-07-09 00:00:00+05:30,264.35,265.65,257.2,258.0,975977
2015-07-13 00:00:00+05:30,257.0,272.5,256.8,270.0,1762719
2015-07-14 00:00:00+05:30,272.3,272.3,266.05,266.55,824501
2015-07-15 00:00:00+05:30,266.95,272.4,265.4,268.4,1428902
2015-07-16 00:00:00+05:30,269.6,269.6,265.05,267.1,758420
2015-07-17 00:00:00+05:30,267.95,269.95,261.45,263.1,1050257
2015-07-20 00:00:00+05:30,264.85,268.6,259.8,264.0,1277288
2015-07-21 00:00:00+05:30,265.3,266.4,256.15,259.3,913136
2015-07-22 00:00:00+05:30,258.45,265.5,255.4,263.25,1182292
2015-07-23 00:00:00+05:30,264.95,271.5,262.1,263.0,2241271
2015-07-24 00:00:00+05:30,263.95,267.45,249.9,250.2,4151262
2015-07-27 00:00:00+05:30,251.0,251.0,239.15,241.4,4118158
2015-07-28 00:00:00+05:30,242.1,243.0,228.55,234.45,3320070
2015-07-29 00:00:00+05:30,232.0,238.4,232.0,235.55,1820181
2015-07-30 00:00:00+05:30,238.5,239.4,234.25,235.0,4162899
2015-07-31 00:00:00+05:30,235.45,241.3,233.5,238.0,1351107
2015-08-03 00:00:00+05:30,236.1,237.4,229.4,229.9,1567176
2015-08-04 00:00:00+05:30,228.85,234.4,227.1,234.0,1606425
2015-08-05 00:00:00+05:30,235.45,237.0,232.4,235.3,1445084
2015-08-06 00:00:00+05:30,235.7,240.3,233.65,238.8,1335191
2015-08-07 00:00:00+05:30,236.75,241.6,236.75,238.2,1245208
2015-08-11 00:00:00+05:30,233.95,235.0,222.3,223.1,2235868
2015-08-12 00:00:00+05:30,220.6,227.25,220.15,224.0,1903770
2015-08-13 00:00:00+05:30,224.5,229.0,224.1,226.75,930497
2015-08-14 00:00:00+05:30,227.0,230.95,224.8,230.2,933044
2015-08-17 00:00:00+05:30,232.0,234.5,228.05,230.0,894749
2015-08-18 00:00:00+05:30,229.95,233.85,229.95,230.5,1104976
2015-08-19 00:00:00+05:30,230.85,235.0,228.8,229.95,869140
2015-08-20 00:00:00+05:30,229.1,232.7,227.55,232.5,1324010
2015-08-21 00:00:00+05:30,230.0,231.0,222.6,228.8,847773
2015-08-24 00:00:00+05:30,220.0,222.75,201.1,212.1,2518210
2015-08-25 00:00:00+05:30,218.85,230.0,214.0,229.0,1505192
2015-08-26 00:00:00+05:30,223.7,229.95,222.3,229.0,820668
2015-08-27 00:00:00+05:30,230.05,232.8,223.4,225.5,1014442
2015-08-28 00:00:00+05:30,228.0,230.6,220.0,220.5,790762
2015-08-31 00:00:00+05:30,220.4,225.8,216.65,225.2,1047245
2015-09-01 00:00:00+05:30,223.8,225.9,202.05,218.0,1876859
2015-09-02 00:00:00+05:30,219.7,224.0,216.5,221.55,970886
2015-09-03 00:00:00+05:30,223.05,224.95,218.0,221.4,1003464
2015-09-04 00:00:00+05:30,218.7,224.8,215.9,223.35,1126587
2015-09-07 00:00:00+05:30,224.0,226.35,217.1,217.25,700235
2015-09-08 00:00:00+05:30,218.6,222.1,215.7,220.5,831441
2015-09-09 00:00:00+05:30,223.85,229.4,221.05,227.2,939425
2015-09-11 00:00:00+05:30,230.0,235.85,229.25,233.0,995838
2015-09-14 00:00:00+05:30,234.45,235.8,230.8,231.25,507427
2015-09-15 00:00:00+05:30,232.6,233.4,229.55,230.9,638455
